Strain_ID,P_Distance,ML_Distance_LG_G4,Difference
EPI1758629|HA|B/Lebanon/28/2020|EPI_ISL_491869|B,0.003436,0.003453,0.000016
EPI1806939|HA|B/Nepal/20FL0516/2020|EPI_ISL_593783|B,0.010309,0.010476,0.000166
EPI1734557|HA|B/Sri_Lanka/15/2020|EPI_ISL_430302|B,0.001718,0.001721,0.000002
EPI1734565|HA|B/Sri_Lanka/14/2020|EPI_ISL_430303|B,0.003436,0.003439,0.000003
EPI1807025|HA|B/Lebanon/16/2020|EPI_ISL_594227|B,0.006873,0.006894,0.000021
EPI1801557|HA|B/Hunan-Daxaing/120/2020|EPI_ISL_528918|B,0.003436,0.003453,0.000016
EPI1802155|HA|B/Sri_Lanka/23/2020|EPI_ISL_529136|B,0.001718,0.001717,-0.000001
EPI1735103|HA|B/HK/27/2020|EPI_ISL_431063|B,0.003436,0.003444,0.000007
EPI1762664|HA|B/Japan/12213/2020|EPI_ISL_496597|B,0.003436,0.003449,0.000013
EPI1735098|HA|B/HK/24/2020|EPI_ISL_431060|B,0.003436,0.003491,0.000055
EPI1735100|HA|B/HK/25/2020|EPI_ISL_431061|B,0.006873,0.006933,0.000060
EPI1735113|HA|B/HK/33/2020|EPI_ISL_431070|B,0.001718,0.001719,0.000001
EPI1735110|HA|B/HK/29/2020|EPI_ISL_431068|B,0.003436,0.003449,0.000013
EPI1735105|HA|B/HK/34/2020|EPI_ISL_431064|B,0.005155,0.005209,0.000054
EPI1735106|HA|B/HK/31/2020|EPI_ISL_431065|B,0.003436,0.003449,0.000013
EPI4413807|HA|B/Shandong-Shizhong/121/2020|EPI_ISL_19896603|B,0.003436,0.003462,0.000025
EPI4413799|HA|B/Shandong-Rencheng/1350/2020|EPI_ISL_19896602|B,0.005155,0.005175,0.000020
EPI1763455|HA|B/SAPPORO/1/2020|EPI_ISL_498207|B,0.005155,0.005187,0.000032
EPI1763475|HA|B/SAITAMA/11/2020|EPI_ISL_498212|B,0.003436,0.003446,0.000010
EPI1763516|HA|B/SENDAI/2/2020|EPI_ISL_498219|B,0.001718,0.001717,-0.000001
EPI1856316|HA|B/FUKUSHIMA/4/2020|EPI_ISL_1483364|B,0.001718,0.001722,0.000004
EPI1856308|HA|B/FUKUSHIMA/3/2020|EPI_ISL_1483363|B,0.003436,0.003444,0.000007
EPI1766922|HA|B/Beirut/330/2020|EPI_ISL_500758|B,0.006873,0.006922,0.000049
EPI1766930|HA|B/Jbeil/398/2020|EPI_ISL_500762|B,0.006873,0.006896,0.000023
EPI1804181|HA|B/Budgam/AG_359/2020|EPI_ISL_534110|B,0.003436,0.003440,0.000003
EPI1804163|HA|B/Baramulla/AG_451/2020|EPI_ISL_534101|B,0.005155,0.005178,0.000024
EPI1804199|HA|B/Ganderbal/AG_501/2020|EPI_ISL_534119|B,0.003436,0.003442,0.000006
EPI1804287|HA|B/Rajouri/AG_618/2020|EPI_ISL_534163|B,0.003436,0.003443,0.000007
EPI1804333|HA|B/Srinagar/AG_562/2020|EPI_ISL_534186|B,0.003436,0.003443,0.000007
EPI1804341|HA|B/Srinagar/AG_590/2020|EPI_ISL_534190|B,0.003436,0.003440,0.000004
EPI1804323|HA|B/Srinagar/AG_498/2020|EPI_ISL_534181|B,0.003436,0.003450,0.000013
EPI1804355|HA|B/Srinagar/UG_49/2020|EPI_ISL_534197|B,0.003436,0.003447,0.000010
EPI1804574|HA|B/NARA/1/2020|EPI_ISL_535492|B,0.001718,0.001718,-0.000000
EPI1737628|HA|B/YOKOHAMA/7/2020|EPI_ISL_437500|B,0.003436,0.003446,0.000010
EPI1737660|HA|B/FUKUOKA-C/3/2020|EPI_ISL_437504|B,0.001718,0.001721,0.000003
EPI3250057|HA|B/Tokyo/19FS243/2020|EPI_ISL_19084578|B,0.001718,0.001716,-0.000002
EPI3250049|HA|B/Kyoto/19FS219/2020|EPI_ISL_19084577|B,0.003436,0.003443,0.000006
EPI1840465|HA|B/Laos/452/2020|EPI_ISL_767018|B,0.003436,0.003462,0.000025
EPI1840481|HA|B/Laos/262/2020|EPI_ISL_767020|B,0.005155,0.005194,0.000040
EPI3453128|HA|B/Guangdong/428/2020|EPI_ISL_19281445|B,0.003436,0.003441,0.000005
EPI3254354|HA|B/Okinawa/19T062/2020|EPI_ISL_19086701|B,0.001718,0.001720,0.000002
EPI1690493|HA|B/Georgia/96/2020|EPI_ISL_410220|B,0.003436,0.003440,0.000003
EPI1812913|HA|B/Bhutan/1602/2020|EPI_ISL_639720|B,0.012027,0.012249,0.000222
EPI1814889|HA|B/AICHI/46/2020|EPI_ISL_672616|B,0.003436,0.003453,0.000016
EPI1748595|HA|B/NAGANO/2028/2020|EPI_ISL_476005|B,0.003436,0.003450,0.000014
EPI1814866|HA|B/IWATE/1/2020|EPI_ISL_672613|B,0.003436,0.003445,0.000008
EPI1691912|HA|B/Beijing-Huairou/147/2020|EPI_ISL_410583|B,0.003436,0.003495,0.000059
EPI1691921|HA|B/Zhejiang-Nanhu/112/2020|EPI_ISL_410586|B,0.003436,0.003447,0.000010
EPI1691918|HA|B/Xinjiang-Tianshan/113/2020|EPI_ISL_410585|B,0.001718,0.001717,-0.000001
EPI1694575|HA|B/Ashgabat/1/2020|EPI_ISL_411138|B,0.006838,0.006884,0.000046
EPI1795429|HA|B/Philippines/5/2020|EPI_ISL_510009|B,0.003436,0.003449,0.000013
EPI1711010|HA|B/South_Korea/11421/2020|EPI_ISL_415063|B,0.001718,0.001721,0.000003
EPI1711018|HA|B/South_Korea/11422/2020|EPI_ISL_415064|B,0.008576,0.008683,0.000107
EPI1711294|HA|B/KANAGAWA/ZC1946/2020|EPI_ISL_415168|B,0.001718,0.001718,-0.000001
EPI1813707|HA|B/Chanthaburi/26/2020|EPI_ISL_644661|B,0.005155,0.005193,0.000038
EPI1813723|HA|B/Sri_Lanka/25/2020|EPI_ISL_644663|B,0.003436,0.003453,0.000016
EPI1813764|HA|B/Laos/F0253/2020|EPI_ISL_645112|B,0.003436,0.003438,0.000001
EPI1750714|HA|B/Singapore/KK0670/2020|EPI_ISL_481329|B,0.003436,0.003451,0.000014
EPI1868564|HA|B/Saudi_Arabia/1163435488/2020|EPI_ISL_2448014|B,0.017182,0.017594,0.000412
EPI1806011|HA|B/North_Lebanon/NM_479_N/2020|EPI_ISL_582552|B,0.005155,0.005201,0.000046
EPI1806013|HA|B/North_Lebanon/NM_496_N/2020|EPI_ISL_582553|B,0.006873,0.006908,0.000035
EPI1805997|HA|B/North_Lebanon/NM_419_N/2020|EPI_ISL_582545|B,0.006873,0.006913,0.000040
EPI1805999|HA|B/North_Lebanon/NM_423_N/2020|EPI_ISL_582546|B,0.003436,0.003457,0.000020
EPI1806001|HA|B/North_Lebanon/NM_429_N/2020|EPI_ISL_582547|B,0.006873,0.006922,0.000049
EPI1752722|HA|B/Gansu-Xifeng/1165/2020|EPI_ISL_485402|B,0.005155,0.005194,0.000040
EPI1752809|HA|B/Hunan-Louxin/125/2020|EPI_ISL_485431|B,0.001718,0.001718,-0.000001
EPI1752800|HA|B/Yunnan-Chuxiong/199/2020|EPI_ISL_485428|B,0.005155,0.005177,0.000022
EPI1752830|HA|B/Guizhou-Xixiu/19/2020|EPI_ISL_485438|B,0.006873,0.006904,0.000031
EPI1753025|HA|B/Macao/600167/2020|EPI_ISL_485503|B,0.006873,0.006942,0.000069
EPI1753169|HA|B/Hubei-Wujiagang/12/2020|EPI_ISL_485551|B,0.008591,0.008647,0.000056
EPI1753163|HA|B/Henan-Longting/113/2020|EPI_ISL_485549|B,0.003436,0.003444,0.000008
EPI1753154|HA|B/Hubei-Huangshigang/119/2020|EPI_ISL_485546|B,0.006873,0.006922,0.000049
EPI1753151|HA|B/Zhejiang-Kecheng/114/2020|EPI_ISL_485545|B,0.003436,0.003443,0.000007
EPI1806602|HA|B/Bangladesh/522/2020|EPI_ISL_584092|B,0.010309,0.010455,0.000146
EPI1753723|HA|B/GUNMA/43/2020|EPI_ISL_486374|B,0.005155,0.005163,0.000008
EPI1753699|HA|B/KITAKYUSYU/7/2020|EPI_ISL_486371|B,0.003436,0.003440,0.000003
EPI1753748|HA|B/MIYAGI/1/2020|EPI_ISL_486379|B,0.003436,0.003448,0.000012
EPI1723201|HA|B/Lebanon/4/2020|EPI_ISL_421066|B,0.005155,0.005184,0.000030
EPI1723209|HA|B/Lebanon/9/2020|EPI_ISL_421067|B,0.006873,0.006893,0.000020
EPI1858718|HA|B/Laos/383/2020|EPI_ISL_1732531|B,0.005155,0.005194,0.000040
EPI1815300|HA|B/Beirut/AUB_1284_N/2020|EPI_ISL_684071|B,0.008591,0.008627,0.000036
EPI1815296|HA|B/Beirut/AUB_1239_N/2020|EPI_ISL_684069|B,0.005155,0.005189,0.000034
EPI1815338|HA|B/Bekaa/BH_140_N/2020|EPI_ISL_684090|B,0.006873,0.006947,0.000074
EPI1740182|HA|B/SHIZUOKA/16/2020|EPI_ISL_454738|B,0.005155,0.005196,0.000042
EPI1740190|HA|B/CHIBA-C/11/2020|EPI_ISL_454739|B,0.003436,0.003442,0.000006
EPI1845112|HA|B/Henan-Weidong/1578/2020|EPI_ISL_979823|B,0.013746,0.014071,0.000326
EPI1845124|HA|B/Guizhou-Kaili/11077/2020|EPI_ISL_979835|B,0.013746,0.014045,0.000299
EPI1845117|HA|B/Jiangxi-Yuanzhou/12055/2020|EPI_ISL_979828|B,0.013746,0.014033,0.000287
EPI1870310|HA|B/Afghanistan/76/2020|EPI_ISL_2521319|B,0.015464,0.015872,0.000408
EPI1870282|HA|B/Afghanistan/114/2020|EPI_ISL_2521315|B,0.015464,0.015825,0.000361
EPI1726014|HA|B/Lebanon/120/2020|EPI_ISL_424772|B,0.003436,0.003442,0.000005
EPI1758403|HA|B/Utah/15/2020|EPI_ISL_491840|B,0.003436,0.003434,-0.000003
EPI1758530|HA|B/Kentucky/03/2020|EPI_ISL_491856|B,0.005155,0.005172,0.000018
EPI1758692|HA|B/Massachusetts/02/2020|EPI_ISL_491877|B,0.003436,0.003442,0.000005
EPI1758748|HA|B/Idaho/02/2020|EPI_ISL_491884|B,0.006861,0.006932,0.000071
EPI1876467|HA|B/Wisconsin/378/2020|EPI_ISL_2557464|B,0.001718,0.001719,0.000001
EPI1874467|HA|B/Washington/48/2020|EPI_ISL_2557879|B,0.003436,0.003440,0.000004
EPI1874550|HA|B/Washington/77/2020|EPI_ISL_2557887|B,0.003436,0.003443,0.000006
EPI1874590|HA|B/Washington/55/2020|EPI_ISL_2557892|B,0.003436,0.003454,0.000017
EPI1874669|HA|B/Washington/66/2020|EPI_ISL_2557902|B,0.003436,0.003440,0.000004
EPI1874661|HA|B/Wisconsin/129/2020|EPI_ISL_2557901|B,0.003436,0.003444,0.000007
EPI1874653|HA|B/Michigan/31/2020|EPI_ISL_2557900|B,0.005155,0.005194,0.000039
EPI1730637|HA|B/Alaska/11702/2020|EPI_ISL_428056|B,0.005155,0.005169,0.000014
EPI1730740|HA|B/Colorado/11716/2020|EPI_ISL_428070|B,0.005155,0.005179,0.000025
EPI1874854|HA|B/Washington/60/2020|EPI_ISL_2557957|B,0.003436,0.003451,0.000014
EPI1730769|HA|B/Colorado/11720/2020|EPI_ISL_428074|B,0.003436,0.003450,0.000013
EPI1730777|HA|B/Delaware/11721/2020|EPI_ISL_428075|B,0.001718,0.001724,0.000006
EPI1730753|HA|B/Colorado/11718/2020|EPI_ISL_428072|B,0.003436,0.003444,0.000007
EPI1730761|HA|B/Colorado/11719/2020|EPI_ISL_428073|B,0.003436,0.003452,0.000015
EPI1730828|HA|B/Georgia/11730/2020|EPI_ISL_428084|B,0.003436,0.003444,0.000007
EPI1874943|HA|B/Wisconsin/102/2020|EPI_ISL_2557969|B,0.003436,0.003443,0.000007
EPI1730807|HA|B/Georgia/11727/2020|EPI_ISL_428081|B,0.001718,0.001727,0.000009
EPI1875047|HA|B/Wisconsin/95/2020|EPI_ISL_2557982|B,0.003436,0.003440,0.000003
EPI1730908|HA|B/Illinois/11741/2020|EPI_ISL_428095|B,0.012007,0.012153,0.000147
EPI1730892|HA|B/Idaho/11739/2020|EPI_ISL_428093|B,0.005155,0.005183,0.000028
EPI1874999|HA|B/Wisconsin/87/2020|EPI_ISL_2557976|B,0.003436,0.003451,0.000014
EPI1730919|HA|B/Illinois/11743/2020|EPI_ISL_428097|B,0.003436,0.003450,0.000014
EPI1731010|HA|B/Maryland/11757/2020|EPI_ISL_428111|B,0.006873,0.006929,0.000056
EPI1730990|HA|B/Kansas/11754/2020|EPI_ISL_428108|B,0.003436,0.003440,0.000004
EPI1730974|HA|B/Kansas/11752/2020|EPI_ISL_428106|B,0.003436,0.003456,0.000020
EPI1731064|HA|B/Mississippi/11765/2020|EPI_ISL_428119|B,0.001718,0.001723,0.000005
EPI1731027|HA|B/Massachusetts/11760/2020|EPI_ISL_428114|B,0.005155,0.005177,0.000022
EPI1731023|HA|B/Massachusetts/11759/2020|EPI_ISL_428113|B,0.001718,0.001716,-0.000002
EPI1731068|HA|B/Mississippi/11766/2020|EPI_ISL_428120|B,0.001718,0.001721,0.000003
EPI1731153|HA|B/New_Mexico/11780/2020|EPI_ISL_428134|B,0.005155,0.005211,0.000056
EPI1731161|HA|B/New_York/11781/2020|EPI_ISL_428135|B,0.001718,0.001718,-0.000001
EPI1731148|HA|B/New_Jersey/11779/2020|EPI_ISL_428133|B,0.008576,0.008668,0.000092
EPI1731124|HA|B/New_Jersey/11776/2020|EPI_ISL_428130|B,0.005155,0.005184,0.000029
EPI1731198|HA|B/North_Carolina/11788/2020|EPI_ISL_428142|B,0.001718,0.001718,-0.000001
EPI1731169|HA|B/New_York/11782/2020|EPI_ISL_428136|B,0.006873,0.006964,0.000091
EPI1731171|HA|B/New_York/11783/2020|EPI_ISL_428137|B,0.001718,0.001721,0.000002
EPI1731220|HA|B/North_Dakota/11792/2020|EPI_ISL_428146|B,0.003436,0.003452,0.000015
EPI1731228|HA|B/North_Dakota/11793/2020|EPI_ISL_428147|B,0.003436,0.003436,-0.000000
EPI1731252|HA|B/Oklahoma/11798/2020|EPI_ISL_428153|B,0.003436,0.003453,0.000016
EPI1731344|HA|B/South_Dakota/11811/2020|EPI_ISL_428166|B,0.005155,0.005175,0.000020
EPI1731308|HA|B/Oklahoma/11806/2020|EPI_ISL_428161|B,0.003436,0.003443,0.000007
EPI1731424|HA|B/Texas/11824/2020|EPI_ISL_428179|B,0.003436,0.003453,0.000017
EPI1731409|HA|B/Texas/11821/2020|EPI_ISL_428176|B,0.005155,0.005169,0.000014
EPI1731459|HA|B/Texas/11829/2020|EPI_ISL_428184|B,0.003436,0.003446,0.000010
EPI1731522|HA|B/Virginia/11839/2020|EPI_ISL_428194|B,0.003436,0.003443,0.000007
EPI1731744|HA|B/Kentucky/07/2020|EPI_ISL_428241|B,0.003436,0.003442,0.000006
EPI1734945|HA|B/Montana/10/2020|EPI_ISL_430783|B,0.003436,0.003443,0.000007
EPI1735001|HA|B/Washington/39/2020|EPI_ISL_430790|B,0.001718,0.001716,-0.000002
EPI1734969|HA|B/Utah/16/2020|EPI_ISL_430786|B,0.006873,0.006891,0.000018
EPI1745171|HA|B/Delaware/12052/2020|EPI_ISL_463844|B,0.003436,0.003444,0.000008
EPI1745201|HA|B/Georgia/12057/2020|EPI_ISL_463848|B,0.003436,0.003450,0.000013
EPI1745275|HA|B/Mississippi/12070/2020|EPI_ISL_463860|B,0.001718,0.001721,0.000002
EPI1745347|HA|B/Ohio/12080/2020|EPI_ISL_463870|B,0.003436,0.003440,0.000003
EPI1745339|HA|B/North_Dakota/12079/2020|EPI_ISL_463869|B,0.003436,0.003440,0.000003
EPI1745310|HA|B/New_Jersey/12075/2020|EPI_ISL_463865|B,0.003436,0.003451,0.000014
EPI1745376|HA|B/South_Dakota/12084/2020|EPI_ISL_463874|B,0.003436,0.003440,0.000004
EPI1745371|HA|B/South_Carolina/12083/2020|EPI_ISL_463873|B,0.001718,0.001718,-0.000000
EPI1745442|HA|B/Virginia/12095/2020|EPI_ISL_463885|B,0.001718,0.001720,0.000002
EPI1745417|HA|B/Utah/12091/2020|EPI_ISL_463881|B,0.003436,0.003445,0.000008
EPI2411758|HA|B/Michigan/105/2020|EPI_ISL_16947024|B,0.013746,0.014035,0.000289
EPI1912997|HA|B/Missouri/Original/2020|EPI_ISL_4103638|B,0.003436,0.003442,0.000006
EPI1736161|HA|B/New_Jersey/11947/2020|EPI_ISL_435270|B,0.008576,0.008687,0.000110
EPI1736165|HA|B/North_Carolina/11948/2020|EPI_ISL_435271|B,0.003436,0.003439,0.000003
EPI1736201|HA|B/Utah/11954/2020|EPI_ISL_435277|B,0.001718,0.001731,0.000013
EPI1867275|HA|B/Wisconsin/373/2020|EPI_ISL_2271031|B,0.003436,0.003440,0.000003
EPI1865871|HA|B/Pennsylvania/72/2020|EPI_ISL_2271037|B,0.003436,0.003443,0.000007
EPI1866014|HA|B/Pennsylvania/58/2020|EPI_ISL_2271090|B,0.001718,0.001717,-0.000001
EPI1865998|HA|B/Wisconsin/402/2020|EPI_ISL_2271067|B,0.005155,0.005168,0.000014
EPI1866976|HA|B/Washington/102/2020|EPI_ISL_2271148|B,0.006873,0.006896,0.000023
EPI1866030|HA|B/Wisconsin/397/2020|EPI_ISL_2271113|B,0.001718,0.001721,0.000003
EPI1866661|HA|B/Washington/26/2020|EPI_ISL_2305407|B,0.003436,0.003442,0.000006
EPI1664608|HA|B/Colorado/01/2020|EPI_ISL_404890|B,0.001718,0.001721,0.000003
EPI1866707|HA|B/Washington/18/2020|EPI_ISL_2305430|B,0.005155,0.005164,0.000010
EPI1866984|HA|B/Pennsylvania/88/2020|EPI_ISL_2305677|B,0.001718,0.001723,0.000004
EPI1866991|HA|B/Pennsylvania/78/2020|EPI_ISL_2305685|B,0.003436,0.003444,0.000007
EPI1867076|HA|B/Wisconsin/154/2020|EPI_ISL_2305760|B,0.003436,0.003443,0.000007
EPI1867147|HA|B/Wisconsin/151/2020|EPI_ISL_2305823|B,0.001718,0.001718,-0.000000
EPI3989665|HA|B/Washington/S28497/2020|EPI_ISL_19740073|B,0.011966,0.012141,0.000175
EPI3989657|HA|B/Washington/S28496/2020|EPI_ISL_19740072|B,0.001709,0.001710,0.000001
EPI3989673|HA|B/Washington/S28499/2020|EPI_ISL_19740074|B,0.001709,0.001710,0.000001
EPI3989825|HA|B/Washington/S28517/2020|EPI_ISL_19740093|B,0.003419,0.003423,0.000005
EPI3989817|HA|B/Washington/S28544/2020|EPI_ISL_19740092|B,0.000000,0.000001,0.000001
EPI3989809|HA|B/Washington/S28543/2020|EPI_ISL_19740091|B,0.003419,0.003458,0.000039
EPI3989777|HA|B/Washington/S28529/2020|EPI_ISL_19740087|B,0.001709,0.001710,0.000000
EPI3989769|HA|B/Washington/S28528/2020|EPI_ISL_19740086|B,0.001709,0.001709,-0.000000
EPI1867386|HA|B/Wisconsin/218/2020|EPI_ISL_2307375|B,0.001718,0.001720,0.000001
EPI1867726|HA|B/Wisconsin/263/2020|EPI_ISL_2307423|B,0.003436,0.003437,0.000000
EPI3992769|HA|B/Washington/S28163/2020|EPI_ISL_19740462|B,0.015385,0.015815,0.000430
EPI3992801|HA|B/Washington/S28313/2020|EPI_ISL_19740466|B,0.003419,0.003425,0.000006
EPI3992513|HA|B/Washington/S28426/2020|EPI_ISL_19740430|B,0.005128,0.005150,0.000021
EPI3992649|HA|B/Washington/S27998/2020|EPI_ISL_19740447|B,0.003419,0.003425,0.000007
EPI3990857|HA|B/Washington/S28484/2020|EPI_ISL_19740222|B,0.003419,0.003424,0.000005
EPI3990833|HA|B/Washington/S28478/2020|EPI_ISL_19740219|B,0.013675,0.013934,0.000259
EPI3991369|HA|B/Washington/S28534/2020|EPI_ISL_19740286|B,0.003419,0.003425,0.000007
