Strain_ID,P_Distance,ML_Distance_LG_G4,Difference
EPI2509620|HA|B/Shandong-Huancui/12/2022|EPI_ISL_17465746|B,0.001718,0.001723,0.000005
EPI2509617|HA|B/Jiangsu-Qingjiangpu/194/2022|EPI_ISL_17465745|B,0.001718,0.001717,-0.000002
EPI2134416|HA|B/Qatar/21-VI-22-1481523/2022|EPI_ISL_14648795|B,0.006873,0.006952,0.000079
EPI2134414|HA|B/Qatar/10-VI-22-1458060/2022|EPI_ISL_14648794|B,0.006873,0.006931,0.000058
EPI2461295|HA|B/Qatar/10-VI-22-1923371/2022|EPI_ISL_17204426|B,0.008591,0.008730,0.000139
EPI2461293|HA|B/Qatar/10-VI-22-2092996/2022|EPI_ISL_17204425|B,0.006873,0.006932,0.000059
EPI2223322|HA|B/Samail/72211240/2022|EPI_ISL_15926896|B,0.008591,0.008692,0.000101
EPI2223320|HA|B/Buraymi/72211194/2022|EPI_ISL_15926895|B,0.010309,0.010495,0.000186
EPI2197338|HA|B/Laos/F1451/2022|EPI_ISL_15534253|B,0.006873,0.006938,0.000065
EPI2223709|HA|B/Bahrain/7548/2022|EPI_ISL_15927711|B,0.008591,0.008708,0.000117
EPI2223512|HA|B/Abu_Dhabi/0002743/2022|EPI_ISL_15927686|B,0.006873,0.006976,0.000103
EPI2223582|HA|B/Bahrain/5467/2022|EPI_ISL_15927695|B,0.006873,0.006921,0.000048
EPI2318959|HA|B/HongKong/9/2022|EPI_ISL_16714036|B,0.006873,0.006954,0.000081
EPI2318937|HA|B/Bishkek/S-66SARI/2022|EPI_ISL_16714014|B,0.008591,0.008721,0.000130
EPI2318928|HA|B/Ashabat/6/2022|EPI_ISL_16714005|B,0.008591,0.008691,0.000099
EPI2122282|HA|B/HK/3/2022|EPI_ISL_14387918|B,0.008591,0.008715,0.000124
EPI2237546|HA|B/Almaty/11274/2022|EPI_ISL_16027134|B,0.010309,0.010484,0.000175
EPI2237548|HA|B/Almaty/11279/2022|EPI_ISL_16027136|B,0.008591,0.008696,0.000105
EPI2334000|HA|B/Bishkek/015/2022|EPI_ISL_16748435|B,0.006873,0.006954,0.000081
EPI2333999|HA|B/Bishkek/014/2022|EPI_ISL_16748433|B,0.010309,0.010470,0.000161
EPI2226413|HA|B/Bawshar/72211419/2022|EPI_ISL_15929442|B,0.005155,0.005234,0.000079
EPI2226395|HA|B/Sohar/52225028/2022|EPI_ISL_15929431|B,0.005155,0.005205,0.000050
EPI2226399|HA|B/Sohar/52224506/2022|EPI_ISL_15929434|B,0.008591,0.008696,0.000105
EPI2226397|HA|B/Ibri/72211826/2022|EPI_ISL_15929433|B,0.008591,0.008748,0.000157
EPI2196544|HA|B/Laos/F1517/2022|EPI_ISL_15503753|B,0.008591,0.008698,0.000107
EPI2241954|HA|B/Guangdong-Xiangzhou/8316/2022|EPI_ISL_16093973|B,0.010309,0.010529,0.000220
EPI2241951|HA|B/Guangdong-Xiangzhou/11264/2022|EPI_ISL_16093972|B,0.006873,0.006965,0.000092
EPI2241960|HA|B/Guangdong-Xiangzhou/11264/2022|EPI_ISL_16093975|B,0.003436,0.003457,0.000021
EPI2241945|HA|B/Guangdong-Haizhu/1601/2022|EPI_ISL_16093970|B,0.003436,0.003449,0.000013
EPI2241966|HA|B/Guangdong-Zhongshan/1853/2022|EPI_ISL_16093977|B,0.005155,0.005195,0.000041
EPI2292363|HA|B/Singapore/KK0868/2022|EPI_ISL_16520271|B,0.008591,0.008679,0.000088
EPI2319409|HA|B/Laos/F2548/2022|EPI_ISL_16717076|B,0.008591,0.008675,0.000084
EPI2125689|HA|B/Guizhou-Huichuan/1291/2022|EPI_ISL_14456636|B,0.003436,0.003447,0.000011
EPI2125692|HA|B/Gansu-Linxia/1187/2022|EPI_ISL_14456637|B,0.003436,0.003459,0.000023
EPI2125677|HA|B/Yunnan-Anning/1239/2022|EPI_ISL_14456632|B,0.015464,0.015912,0.000448
EPI2092067|HA|B/Singapore/SAR0028/2022|EPI_ISL_13835103|B,0.006873,0.006914,0.000041
EPI2092162|HA|B/Singapore/KK0039/2022|EPI_ISL_13835115|B,0.008591,0.008686,0.000095
EPI2092186|HA|B/Singapore/SAR3797/2022|EPI_ISL_13835118|B,0.006873,0.006928,0.000055
EPI2092170|HA|B/Singapore/GP1962/2022|EPI_ISL_13835116|B,0.008591,0.008681,0.000090
EPI2109928|HA|B/Bishkek/11/2022|EPI_ISL_14065082|B,0.005155,0.005180,0.000025
EPI4416473|HA|B/Shandong-Shibei/194/2022|EPI_ISL_19897549|B,0.003436,0.003448,0.000011
EPI4416529|HA|B/Shandong-Huancui/133/2022|EPI_ISL_19897556|B,0.003436,0.003460,0.000024
EPI2151273|HA|B/Yunnan-Maoshi/1571/2022|EPI_ISL_14818926|B,0.006873,0.006944,0.000071
EPI2151285|HA|B/Yunnan-Yingjiang/351/2022|EPI_ISL_14818930|B,0.003436,0.003451,0.000015
EPI2151282|HA|B/Yunnan-Maoshi/1822/2022|EPI_ISL_14818929|B,0.006873,0.006929,0.000057
EPI2151291|HA|B/Guangdong-Liwan/1508/2022|EPI_ISL_14818932|B,0.005155,0.005202,0.000047
EPI2150973|HA|B/Jiangsu-Guangling/11004/2022|EPI_ISL_14818826|B,0.005155,0.005210,0.000055
EPI2150976|HA|B/Guangdong-Pengjiang/1561/2022|EPI_ISL_14818827|B,0.005155,0.005219,0.000064
EPI2150967|HA|B/Beijing-Huairou/1418/2022|EPI_ISL_14818824|B,0.005155,0.005187,0.000033
EPI2467995|HA|B/Laos/F4663/2022|EPI_ISL_17244530|B,0.010309,0.010449,0.000140
EPI2105671|HA|B/Zhejiang-Shangcheng/1243/2022|EPI_ISL_14033365|B,0.003436,0.003450,0.000014
EPI2105669|HA|B/Liaoning-Yinzhou/1163/2022|EPI_ISL_14033363|B,0.015464,0.015939,0.000475
