Strain_ID,P_Distance,ML_Distance_LG_G4,Difference
EPI1758629|HA|B/Lebanon/28/2020|EPI_ISL_491869|B,0.005155,0.005227,0.000072
EPI1806939|HA|B/Nepal/20FL0516/2020|EPI_ISL_593783|B,0.012027,0.012334,0.000306
EPI1734557|HA|B/Sri_Lanka/15/2020|EPI_ISL_430302|B,0.003436,0.003473,0.000037
EPI1734565|HA|B/Sri_Lanka/14/2020|EPI_ISL_430303|B,0.005155,0.005206,0.000052
EPI1807025|HA|B/Lebanon/16/2020|EPI_ISL_594227|B,0.008591,0.008696,0.000105
EPI1801557|HA|B/Hunan-Daxaing/120/2020|EPI_ISL_528918|B,0.003436,0.003450,0.000014
EPI1802155|HA|B/Sri_Lanka/23/2020|EPI_ISL_529136|B,0.003436,0.003467,0.000030
EPI1735103|HA|B/HK/27/2020|EPI_ISL_431063|B,0.005155,0.005214,0.000059
EPI1762664|HA|B/Japan/12213/2020|EPI_ISL_496597|B,0.003436,0.003446,0.000010
EPI1735098|HA|B/HK/24/2020|EPI_ISL_431060|B,0.005155,0.005285,0.000130
EPI1735100|HA|B/HK/25/2020|EPI_ISL_431061|B,0.008591,0.008746,0.000155
EPI1735113|HA|B/HK/33/2020|EPI_ISL_431070|B,0.003436,0.003470,0.000033
EPI1735110|HA|B/HK/29/2020|EPI_ISL_431068|B,0.003436,0.003446,0.000010
EPI1735105|HA|B/HK/34/2020|EPI_ISL_431064|B,0.006873,0.007009,0.000136
EPI1735106|HA|B/HK/31/2020|EPI_ISL_431065|B,0.003436,0.003446,0.000010
EPI4413807|HA|B/Shandong-Shizhong/121/2020|EPI_ISL_19896603|B,0.005155,0.005241,0.000086
EPI4413799|HA|B/Shandong-Rencheng/1350/2020|EPI_ISL_19896602|B,0.006873,0.006963,0.000091
EPI1763455|HA|B/SAPPORO/1/2020|EPI_ISL_498207|B,0.005155,0.005183,0.000028
EPI1763475|HA|B/SAITAMA/11/2020|EPI_ISL_498212|B,0.003436,0.003444,0.000007
EPI1763516|HA|B/SENDAI/2/2020|EPI_ISL_498219|B,0.003436,0.003466,0.000030
EPI1856316|HA|B/FUKUSHIMA/4/2020|EPI_ISL_1483364|B,0.003436,0.003476,0.000039
EPI1856308|HA|B/FUKUSHIMA/3/2020|EPI_ISL_1483363|B,0.003436,0.003441,0.000005
EPI1766922|HA|B/Beirut/330/2020|EPI_ISL_500758|B,0.008591,0.008732,0.000141
EPI1766930|HA|B/Jbeil/398/2020|EPI_ISL_500762|B,0.008591,0.008699,0.000108
EPI1804181|HA|B/Budgam/AG_359/2020|EPI_ISL_534110|B,0.003436,0.003437,0.000001
EPI1804163|HA|B/Baramulla/AG_451/2020|EPI_ISL_534101|B,0.006873,0.006968,0.000095
EPI1804199|HA|B/Ganderbal/AG_501/2020|EPI_ISL_534119|B,0.003436,0.003440,0.000003
EPI1804287|HA|B/Rajouri/AG_618/2020|EPI_ISL_534163|B,0.003436,0.003441,0.000004
EPI1804333|HA|B/Srinagar/AG_562/2020|EPI_ISL_534186|B,0.003436,0.003440,0.000004
EPI1804341|HA|B/Srinagar/AG_590/2020|EPI_ISL_534190|B,0.003436,0.003438,0.000001
EPI1804323|HA|B/Srinagar/AG_498/2020|EPI_ISL_534181|B,0.005155,0.005222,0.000068
EPI1804355|HA|B/Srinagar/UG_49/2020|EPI_ISL_534197|B,0.003436,0.003444,0.000008
EPI1804574|HA|B/NARA/1/2020|EPI_ISL_535492|B,0.003436,0.003468,0.000032
EPI1737628|HA|B/YOKOHAMA/7/2020|EPI_ISL_437500|B,0.003436,0.003444,0.000007
EPI1737660|HA|B/FUKUOKA-C/3/2020|EPI_ISL_437504|B,0.003436,0.003475,0.000039
EPI3250057|HA|B/Tokyo/19FS243/2020|EPI_ISL_19084578|B,0.003436,0.003464,0.000027
EPI3250049|HA|B/Kyoto/19FS219/2020|EPI_ISL_19084577|B,0.005155,0.005212,0.000057
