Strain_ID,P_Distance,ML_Distance_LG_G4,Difference
EPI534678|HA|B/Taiwan/113/2014|EPI_ISL_163842|B,0.008547,0.008596,0.000049
EPI534674|HA|B/TOCHIGI/14215/2014|EPI_ISL_163840|B,0.001709,0.001708,-0.000001
EPI534676|HA|B/Taiwan/63/2014|EPI_ISL_163841|B,0.003419,0.003420,0.000001
EPI534684|HA|B/Taiwan/190/2014|EPI_ISL_163845|B,0.011966,0.012080,0.000114
EPI536445|HA|B/Hong_Kong/3298/2014|EPI_ISL_164278|B,0.003419,0.003422,0.000003
EPI536528|HA|B/Korea/2934/2014|EPI_ISL_164317|B,0.005128,0.005154,0.000025
EPI537796|HA|B/HAMAMATU-C/14166/2014|EPI_ISL_164692|B,0.005128,0.005142,0.000014
EPI537798|HA|B/AICHI/51/2014|EPI_ISL_164693|B,0.003419,0.003418,-0.000001
EPI538107|HA|B/Guangdong-Zhongshan/1465/2014|EPI_ISL_164862|B,0.003419,0.003433,0.000015
EPI538128|HA|B/Shanghai-Xuhui/1172/2014|EPI_ISL_164869|B,0.006838,0.006875,0.000037
EPI538171|HA|B/Bangladesh/6784/2014|EPI_ISL_164883|B,0.005128,0.005157,0.000028
EPI538167|HA|B/Bangladesh/2004/2014|EPI_ISL_164881|B,0.003419,0.003421,0.000002
EPI541285|HA|B/MALAYSIA/6/2014|EPI_ISL_166179|B,0.010256,0.010398,0.000141
EPI541302|HA|B/Ulaanbaatar/1113/2014|EPI_ISL_166186|B,0.008547,0.008575,0.000028
EPI541304|HA|B/MALAYSIA/2/2014|EPI_ISL_166187|B,0.003419,0.003419,-0.000000
EPI541366|HA|B/CHIANG_RAI/273/2014|EPI_ISL_166202|B,0.003419,0.003421,0.000002
EPI541356|HA|B/Sainshand/1750/2014|EPI_ISL_166201|B,0.010256,0.010293,0.000037
EPI544148|HA|B/NAGANO/2340/2014|EPI_ISL_166902|B,0.003419,0.003421,0.000002
EPI544150|HA|B/WAKAYAMA/128/2014|EPI_ISL_166903|B,0.005128,0.005154,0.000025
EPI544162|HA|B/GIFU/13/2014|EPI_ISL_166909|B,0.003419,0.003432,0.000013
EPI544174|HA|B/Laos/I136/2014|EPI_ISL_166915|B,0.005128,0.005156,0.000028
EPI544176|HA|B/Laos/I143/2014|EPI_ISL_166916|B,0.005128,0.005148,0.000019
EPI544234|HA|B/Indonesia/Nihrdi-Dps_1144/2014|EPI_ISL_166945|B,0.011966,0.012087,0.000121
EPI551292|HA|B/PHILIPPINES/3/2014|EPI_ISL_168820|B,0.005155,0.005184,0.000030
EPI552528|HA|B/Bangladesh/2429/2014|EPI_ISL_169183|B,0.003419,0.003425,0.000006
EPI554766|HA|B/Fujian-Sanyuan/2669/2014|EPI_ISL_169695|B,0.003419,0.003423,0.000004
EPI554778|HA|B/HK/3513/2014|EPI_ISL_169699|B,0.003419,0.003423,0.000004
EPI554769|HA|B/Liaoning-Heping/1380/2014|EPI_ISL_169696|B,0.003419,0.003432,0.000013
EPI2186922|HA|B/Khentii/1137/2014|EPI_ISL_15146351|B,0.010256,0.010293,0.000037
EPI2186920|HA|B/Hanoi/ELI14309/2014|EPI_ISL_15146350|B,0.005128,0.005147,0.000019
