Strain_ID,P_Distance,ML_Distance_LG_G4,Difference
EPI3343098|HA|B/TOKUSHIMA/1/2023|EPI_ISL_19169348|B,0.010309,0.010503,0.000194
EPI2903726|HA|B/Jeonbuk/2109/2023|EPI_ISL_18744122|B,0.005155,0.005201,0.000047
EPI2903718|HA|B/Gwangju/2106/2023|EPI_ISL_18744118|B,0.010309,0.010461,0.000152
EPI2821807|HA|B/Qatar/16-VI-23-0092030/2023|EPI_ISL_18613589|B,0.006873,0.006911,0.000038
EPI2821815|HA|B/Qatar/32-VI-23-0088240/2023|EPI_ISL_18613590|B,0.003436,0.003439,0.000002
EPI2821818|HA|B/Qatar/10-VI-23-0102659/2023|EPI_ISL_18613591|B,0.008591,0.008698,0.000106
EPI2539364|HA|B/Chiang_Rai/P847/2023|EPI_ISL_17597820|B,0.006873,0.006909,0.000036
EPI2539388|HA|B/Chiang_Rai/P869/2023|EPI_ISL_17597823|B,0.003436,0.003455,0.000019
EPI2539340|HA|B/Chiang_Rai/P838/2023|EPI_ISL_17597817|B,0.003436,0.003441,0.000004
EPI2539348|HA|B/Chiang_Rai/P839/2023|EPI_ISL_17597818|B,0.001718,0.001725,0.000007
EPI2539356|HA|B/Chiang_Rai/P845/2023|EPI_ISL_17597819|B,0.003436,0.003441,0.000004
EPI3231851|HA|B/China/325/2023|EPI_ISL_19072419|B,0.005155,0.005208,0.000054
EPI2921848|HA|B/Thailand/1/2023|EPI_ISL_18778058|B,0.003436,0.003451,0.000015
EPI2822248|HA|B/Henan-Weidong/1952/2023|EPI_ISL_18613855|B,0.012027,0.012259,0.000231
EPI2822215|HA|B/Zhejiang-Nanhu/1949/2023|EPI_ISL_18613844|B,0.003436,0.003455,0.000019
EPI2822218|HA|B/Zhejiang-Yuecheng/1976/2023|EPI_ISL_18613845|B,0.013746,0.014021,0.000275
EPI2822206|HA|B/Guangxi-Dongxin/2396/2023|EPI_ISL_18613841|B,0.001718,0.001721,0.000003
EPI2822209|HA|B/Guangxi-Yuzhou/2196/2023|EPI_ISL_18613842|B,0.006873,0.006962,0.000090
EPI2822266|HA|B/Shanghai-Huangpu/12011/2023|EPI_ISL_18613861|B,0.005155,0.005210,0.000055
EPI2822251|HA|B/Zhejiang-Liandou/11101/2023|EPI_ISL_18613856|B,0.005155,0.005168,0.000014
EPI2822260|HA|B/Guangdong-Sihui/2507/2023|EPI_ISL_18613859|B,0.005155,0.005203,0.000048
EPI2822371|HA|B/Guangxi-Yuzhou/11063/2023|EPI_ISL_18613896|B,0.005155,0.005214,0.000059
EPI2822362|HA|B/Guangdong-Futian/11521/2023|EPI_ISL_18613893|B,0.005155,0.005194,0.000039
EPI2822356|HA|B/Guangdong-Yuncheng/11476/2023|EPI_ISL_18613891|B,0.005155,0.005204,0.000049
EPI3007358|HA|B/Thailand/3/2023|EPI_ISL_18876733|B,0.003436,0.003474,0.000038
EPI3006749|HA|B/Philippines/20/2023|EPI_ISL_18876512|B,0.001718,0.001716,-0.000002
EPI3006751|HA|B/Philippines/21/2023|EPI_ISL_18876513|B,0.001718,0.001722,0.000004
EPI3006753|HA|B/Philippines/29/2023|EPI_ISL_18876514|B,0.003436,0.003444,0.000007
EPI3006757|HA|B/Philippines/32/2023|EPI_ISL_18876516|B,0.001718,0.001726,0.000008
EPI3006761|HA|B/Philippines/36/2023|EPI_ISL_18876518|B,0.003436,0.003463,0.000027
EPI3006745|HA|B/Philippines/18/2023|EPI_ISL_18876510|B,0.003436,0.003440,0.000004
EPI3006747|HA|B/Philippines/16/2023|EPI_ISL_18876511|B,0.001718,0.001719,0.000000
EPI3006920|HA|B/Philippines/35/2023|EPI_ISL_18876572|B,0.001718,0.001718,0.000000
EPI3045712|HA|B/HIROSHIMA/11/2023|EPI_ISL_18909424|B,0.003436,0.003451,0.000014
EPI2760110|HA|B/Phra_Nakhon_Si_Ayutthaya/P3639/2023|EPI_ISL_18320373|B,0.003436,0.003445,0.000009
EPI2760102|HA|B/Phra_Nakhon_Si_Ayutthaya/P3493/2023|EPI_ISL_18320372|B,0.003436,0.003442,0.000006
EPI2760142|HA|B/Phuket/FSEQ014/2023|EPI_ISL_18320377|B,0.005155,0.005179,0.000025
EPI3007988|HA|B/India/Pune-NIV235805/2023|EPI_ISL_18877099|B,0.003436,0.003440,0.000003
