Strain_ID,P_Distance,ML_Distance_LG_G4,Difference
EPI1158001|HA|B/Hong_Kong/1089/2017|EPI_ISL_294975|B,0.000000,0.000001,0.000001
EPI1158011|HA|B/Hong_Kong/1095/2017|EPI_ISL_294980|B,0.006873,0.006955,0.000082
EPI1158009|HA|B/Hong_Kong/1094/2017|EPI_ISL_294979|B,0.005128,0.005168,0.000039
EPI1158031|HA|B/Hong_Kong/695/2017|EPI_ISL_294990|B,0.006838,0.007002,0.000164
EPI1158023|HA|B/Hong_Kong/1118/2017|EPI_ISL_294986|B,0.005128,0.005163,0.000035
EPI3230642|HA|B/Okinawa/16T022/2017|EPI_ISL_19071163|B,0.006838,0.006927,0.000090
EPI3230634|HA|B/Okinawa/16T016/2017|EPI_ISL_19071162|B,0.006838,0.006906,0.000068
EPI994761|HA|B/Maldives/49/2017|EPI_ISL_262781|B,0.005128,0.005170,0.000042
EPI1164055|HA|B/Laos/F1664/2017|EPI_ISL_296175|B,0.005155,0.005195,0.000041
EPI1167080|HA|B/Bangladesh/1312/2017|EPI_ISL_296624|B,0.005128,0.005163,0.000035
EPI1168584|HA|B/Guizhou-Honghuagang/1952/2017|EPI_ISL_297019|B,0.005128,0.005163,0.000035
EPI1168614|HA|B/Hunan-Yuhua/11919/2017|EPI_ISL_297029|B,0.010256,0.010395,0.000139
EPI1168599|HA|B/Hubei-Zhangwan/36/2017|EPI_ISL_297024|B,0.012027,0.012248,0.000220
EPI1004798|HA|B/Almaty/ZVL599/2017|EPI_ISL_264549|B,0.005128,0.005177,0.000049
EPI1004818|HA|B/SAITAMA-C/1/2017|EPI_ISL_265151|B,0.005128,0.005160,0.000032
EPI1004826|HA|B/TOCHIGI/17218/2017|EPI_ISL_265155|B,0.006838,0.006900,0.000063
EPI1004846|HA|B/SAITAMA/93/2017|EPI_ISL_265165|B,0.005128,0.005164,0.000036
EPI1004836|HA|B/SAGA/73/2017|EPI_ISL_265160|B,0.005128,0.005171,0.000043
EPI1172916|HA|B/Astana/ZVL988/2017|EPI_ISL_297936|B,0.005128,0.005163,0.000035
EPI1174863|HA|B/Bangladesh/1221/2017|EPI_ISL_298413|B,0.008547,0.008641,0.000094
EPI1174879|HA|B/Bangladesh/1302/2017|EPI_ISL_298415|B,0.005128,0.005170,0.000042
EPI1174887|HA|B/Bangladesh/1294/2017|EPI_ISL_298416|B,0.005128,0.005163,0.000034
EPI1177451|HA|B/Ankara/1110/2017|EPI_ISL_299074|B,0.011966,0.012142,0.000176
EPI1177508|HA|B/Kazakhstan/7527/2017|EPI_ISL_299103|B,0.006838,0.006904,0.000066
EPI1492118|HA|B/Ashgabat/5/2017|EPI_ISL_364905|B,0.006838,0.006883,0.000046
EPI1179385|HA|B/Sri_Lanka/14/2017|EPI_ISL_299620|B,0.005128,0.005164,0.000036
EPI1179379|HA|B/Sri_Lanka/19/2017|EPI_ISL_299617|B,0.006838,0.006899,0.000061
EPI1179623|HA|B/Philippines/13/2017|EPI_ISL_299708|B,0.006838,0.006892,0.000055
EPI1182265|HA|B/Hong_Kong/1133/2017|EPI_ISL_300118|B,0.010309,0.010474,0.000165
EPI1182280|HA|B/Hong_Kong/1148/2017|EPI_ISL_300120|B,0.005128,0.005160,0.000031
EPI1012520|HA|B/KANAGAWA/5/2017|EPI_ISL_267598|B,0.006838,0.006916,0.000078
EPI1012576|HA|B/KOBE/871/2017|EPI_ISL_267605|B,0.006838,0.006888,0.000050
EPI1012584|HA|B/GUNMA/82/2017|EPI_ISL_267606|B,0.005128,0.005171,0.000043
EPI1012544|HA|B/SHIZUOKA/48/2017|EPI_ISL_267601|B,0.005128,0.005170,0.000042
EPI1012552|HA|B/OITA/8/2017|EPI_ISL_267602|B,0.005128,0.005177,0.000049
EPI1012560|HA|B/HYOGO/3233/2017|EPI_ISL_267603|B,0.006838,0.006895,0.000058
EPI1012762|HA|B/Kyrgyzstan/119/2017|EPI_ISL_267629|B,0.005128,0.005162,0.000034
EPI1012738|HA|B/Kyrgyzstan/115/2017|EPI_ISL_267626|B,0.005128,0.005168,0.000040
EPI1012786|HA|B/Kyrgyzstan/125/2017|EPI_ISL_267632|B,0.008547,0.008691,0.000144
EPI1012802|HA|B/Kyrgyzstan/136/2017|EPI_ISL_267634|B,0.005128,0.005157,0.000028
EPI1012952|HA|B/Kyrgyzstan/99/2017|EPI_ISL_267653|B,0.006838,0.006901,0.000063
EPI1187942|HA|B/Laos/F2882/2017|EPI_ISL_301183|B,0.005128,0.005173,0.000044
EPI1017848|HA|B/Bangladesh/3004/2017|EPI_ISL_268468|B,0.005128,0.005163,0.000034
EPI1020317|HA|B/Kazakhstan/6718/2017|EPI_ISL_268827|B,0.005128,0.005157,0.000029
EPI1340173|HA|B/Chongqing-Yongchuan/331/2017|EPI_ISL_334877|B,0.008547,0.008654,0.000107
EPI1340185|HA|B/Neimenggu-Keerqin/1544/2017|EPI_ISL_334881|B,0.005128,0.005177,0.000049
EPI1340191|HA|B/Chongqing-Fuling/1886/2017|EPI_ISL_334883|B,0.011966,0.012162,0.000196
EPI1340239|HA|B/Guangxi-Youjiang/1928/2017|EPI_ISL_334899|B,0.005128,0.005157,0.000029
EPI1192388|HA|B/NAGANO/2774/2017|EPI_ISL_302254|B,0.005128,0.005175,0.000047
EPI1192390|HA|B/GIFU/65/2017|EPI_ISL_302255|B,0.005128,0.005157,0.000029
EPI1192396|HA|B/NAGANO/2778/2017|EPI_ISL_302258|B,0.006838,0.006925,0.000087
EPI1022583|HA|B/NAGANO/2272/2017|EPI_ISL_269500|B,0.005128,0.005163,0.000034
EPI1022575|HA|B/Laos/F0318/2017|EPI_ISL_269496|B,0.005128,0.005167,0.000039
EPI1022730|HA|B/Hong_Kong/218/2017|EPI_ISL_269532|B,0.005128,0.005163,0.000034
EPI1022732|HA|B/Hong_Kong/219/2017|EPI_ISL_269533|B,0.005128,0.005163,0.000035
EPI1022724|HA|B/Hong_Kong/194/2017|EPI_ISL_269528|B,0.006838,0.006913,0.000076
EPI1022738|HA|B/Hong_Kong/245/2017|EPI_ISL_269536|B,0.006838,0.006901,0.000063
EPI1340969|HA|B/shenzhen/2018-28141/2017|EPI_ISL_335141|B,0.005128,0.005166,0.000038
EPI1340975|HA|B/shenzhen/2018-28139/2017|EPI_ISL_335143|B,0.005128,0.005166,0.000038
EPI1341140|HA|B/shenzhen/2018-22502/2017|EPI_ISL_335198|B,0.005128,0.005163,0.000034
EPI1023354|HA|B/Singapore/TT0739/2017|EPI_ISL_269672|B,0.003419,0.003426,0.000007
EPI1023378|HA|B/Singapore/KK0243/2017|EPI_ISL_269675|B,0.005128,0.005163,0.000035
EPI1025438|HA|B/Bangladesh/8008/2017|EPI_ISL_269991|B,0.005128,0.005177,0.000049
EPI1198131|HA|B/Hubei-Jiangan/1974/2017|EPI_ISL_303188|B,0.010309,0.010462,0.000152
EPI1029940|HA|B/Hubei-Shashi/1244/2017|EPI_ISL_270612|B,0.008547,0.008677,0.000130
EPI1029937|HA|B/Jiangsu-Gaoyou/1396/2017|EPI_ISL_270611|B,0.006838,0.006927,0.000090
EPI1029964|HA|B/Anhui-Dangtu/1136/2017|EPI_ISL_270620|B,0.006838,0.006903,0.000066
EPI1029970|HA|B/Zhejiang-Haishu/1806/2017|EPI_ISL_270622|B,0.006838,0.006910,0.000073
EPI1030165|HA|B/Shanghai-Baoshan/1325/2017|EPI_ISL_270687|B,0.006838,0.006884,0.000046
EPI1030147|HA|B/Sichuan-Dongxin/1297/2017|EPI_ISL_270681|B,0.005128,0.005163,0.000035
EPI1030168|HA|B/Zhejiang-Lucheng/1434/2017|EPI_ISL_270688|B,0.006838,0.006906,0.000068
EPI1030258|HA|B/Zhejiang-Xiacheng/1233/2017|EPI_ISL_270718|B,0.008547,0.008665,0.000118
