Strain_ID,P_Distance,ML_Distance_LG_G4,Difference
EPI3343041|HA|B/FUKUSHIMA/1/2024|EPI_ISL_19169341|B,0.005155,0.005172,0.000017
EPI3343049|HA|B/HIROSHIMA/51/2024|EPI_ISL_19169342|B,0.003436,0.003472,0.000036
EPI2968269|HA|B/Chiang_Rai/P500/2024|EPI_ISL_18841653|B,0.003436,0.003443,0.000007
EPI2968261|HA|B/Nakhon_Phanom/P499/2024|EPI_ISL_18841652|B,0.003436,0.003467,0.000030
EPI2968245|HA|B/Ranong/P483/2024|EPI_ISL_18841650|B,0.005155,0.005226,0.000072
EPI2968165|HA|B/Ranong/P424/2024|EPI_ISL_18841640|B,0.005155,0.005183,0.000029
EPI2968149|HA|B/Chiang_Rai/P405/2024|EPI_ISL_18841638|B,0.001718,0.001716,-0.000003
EPI4045590|HA|B/Thailand/3837/2024|EPI_ISL_19759226|B,0.008591,0.008693,0.000102
EPI4045562|HA|B/Thailand/3871/2024|EPI_ISL_19759222|B,0.005155,0.005171,0.000017
EPI3343114|HA|B/NAGANO-C/28/2024|EPI_ISL_19169350|B,0.003436,0.003462,0.000026
EPI3343065|HA|B/OKAYAMA/1/2024|EPI_ISL_19169344|B,0.001718,0.001724,0.000005
EPI3343074|HA|B/SHIZUOKA/25/2024|EPI_ISL_19169345|B,0.005155,0.005198,0.000043
EPI3343082|HA|B/NAGANO/2101/2024|EPI_ISL_19169346|B,0.003436,0.003462,0.000025
EPI3949555|HA|B/Maldives/2121/2024|EPI_ISL_19726504|B,0.005155,0.005181,0.000026
EPI3949507|HA|B/Maldives/2135/2024|EPI_ISL_19726497|B,0.008591,0.008700,0.000108
EPI3949668|HA|B/Maldives/2313/2024|EPI_ISL_19726519|B,0.006873,0.006946,0.000073
EPI3949353|HA|B/Laos/2928/2024|EPI_ISL_19726476|B,0.006873,0.006930,0.000058
EPI3949413|HA|B/Tokyo/EIS10-804/2024|EPI_ISL_19726484|B,0.005155,0.005183,0.000029
EPI3679942|HA|B/Vietnam/PF324116/2024|EPI_ISL_19596072|B,0.003436,0.003455,0.000018
EPI3679903|HA|B/Vietnam/PF224139/2024|EPI_ISL_19596067|B,0.000000,0.000001,0.000001
EPI3679750|HA|B/Vietnam/PF324151/2024|EPI_ISL_19596046|B,0.005155,0.005197,0.000043
EPI3144401|HA|B/Phra_Nakhon_Si_Ayutthaya/BOE154/2024|EPI_ISL_19006218|B,0.001718,0.001716,-0.000003
EPI3679835|HA|B/Vietnam/PF124119/2024|EPI_ISL_19596057|B,0.003436,0.003455,0.000018
EPI3679858|HA|B/Vietnam/PF124136/2024|EPI_ISL_19596060|B,0.003436,0.003457,0.000021
