Strain_ID,P_Distance,ML_Distance_LG_G4,Difference
EPI2509620|HA|B/Shandong-Huancui/12/2022|EPI_ISL_17465746|B,0.003436,0.003442,0.000006
EPI2509617|HA|B/Jiangsu-Qingjiangpu/194/2022|EPI_ISL_17465745|B,0.006873,0.006930,0.000057
EPI2134416|HA|B/Qatar/21-VI-22-1481523/2022|EPI_ISL_14648795|B,0.001718,0.001724,0.000005
EPI2134414|HA|B/Qatar/10-VI-22-1458060/2022|EPI_ISL_14648794|B,0.001718,0.001719,0.000000
EPI2461295|HA|B/Qatar/10-VI-22-1923371/2022|EPI_ISL_17204426|B,0.003436,0.003463,0.000027
EPI2461293|HA|B/Qatar/10-VI-22-2092996/2022|EPI_ISL_17204425|B,0.001718,0.001719,0.000001
EPI2223322|HA|B/Samail/72211240/2022|EPI_ISL_15926896|B,0.003436,0.003448,0.000012
EPI2223320|HA|B/Buraymi/72211194/2022|EPI_ISL_15926895|B,0.008591,0.008711,0.000120
EPI2197338|HA|B/Laos/F1451/2022|EPI_ISL_15534253|B,0.005155,0.005182,0.000027
EPI2223709|HA|B/Bahrain/7548/2022|EPI_ISL_15927711|B,0.003436,0.003455,0.000018
EPI2223512|HA|B/Abu_Dhabi/0002743/2022|EPI_ISL_15927686|B,0.001718,0.001730,0.000012
EPI2223582|HA|B/Bahrain/5467/2022|EPI_ISL_15927695|B,0.001718,0.001716,-0.000002
EPI2318959|HA|B/HongKong/9/2022|EPI_ISL_16714036|B,0.001718,0.001724,0.000006
EPI2318937|HA|B/Bishkek/S-66SARI/2022|EPI_ISL_16714014|B,0.003436,0.003459,0.000023
EPI2318928|HA|B/Ashabat/6/2022|EPI_ISL_16714005|B,0.003436,0.003448,0.000011
EPI2122282|HA|B/HK/3/2022|EPI_ISL_14387918|B,0.003436,0.003457,0.000021
EPI2237546|HA|B/Almaty/11274/2022|EPI_ISL_16027134|B,0.005155,0.005198,0.000044
EPI2237548|HA|B/Almaty/11279/2022|EPI_ISL_16027136|B,0.003436,0.003450,0.000014
