Strain_ID,P_Distance,ML_Distance_LG_G4,Difference
EPI3476662|HA|A/Philippines/ILI24-1272/2024|EPI_ISL_19300813|A_/_H3N2,0.014134,0.014112,-0.000022
EPI3954964|HA|A/Laos/2825/2024|EPI_ISL_19727510|A_/_H3N2,0.021201,0.021308,0.000107
EPI3007297|HA|A/Sri_Lanka/38/2024|EPI_ISL_18876716|A_/_H3N2,0.017668,0.017687,0.000019
EPI3957290|HA|A/KOBE/24328/2024|EPI_ISL_19729250|A_/_H3N2,0.014134,0.014141,0.000007
EPI3611454|HA|A/Phra_Nakhon_Si_Ayutthaya/B409/2024|EPI_ISL_19500366|A_/_H3N2,0.014134,0.014136,0.000001
EPI4409312|HA|A/Malaysia/MKAI_CL43218/2024|EPI_ISL_19893417|A_/_H3N2,0.014134,0.014162,0.000028
EPI3736128|HA|A/Oman/CPHL_7248732/2024|EPI_ISL_19631336|A_/_H3N2,0.017668,0.017785,0.000117
EPI3739244|HA|A/Daejeon/3779/2024|EPI_ISL_19632813|A_/_H3N2,0.014134,0.014119,-0.000016
EPI3662892|HA|A/Philippines/OBI24-0018/2024|EPI_ISL_19567669|A_/_H3N2,0.012367,0.012357,-0.000011
EPI3389082|HA|A/Abu_Dhabi/8914/2024|EPI_ISL_19208703|A_/_H3N2,0.015901,0.015966,0.000065
EPI3794940|HA|A/Philippines/1597/2024|EPI_ISL_19668077|A_/_H3N2,0.012367,0.012368,0.000000
EPI3616358|HA|A/YOKOHAMA/31/2024|EPI_ISL_19504976|A_/_H3N2,0.012367,0.012367,-0.000001
EPI3637488|HA|A/Malaysia/MKAI/CL37898/2024|EPI_ISL_19539819|A_/_H3N2,0.017668,0.017628,-0.000040
EPI2958566|HA|A/Bangkok/P212/2024|EPI_ISL_18819751|A_/_H3N2,0.019435,0.019447,0.000012
EPI3249927|HA|A/Malaysia/IMR-SARI0356/2024|EPI_ISL_19084229|A_/_H3N2,0.019784,0.019980,0.000196
EPI3750151|HA|A/Seoul/4069/2024|EPI_ISL_19642622|A_/_H3N2,0.015901,0.015887,-0.000014
EPI3456835|HA|A/Singapore/KK0210/2024|EPI_ISL_19283579|A_/_H3N2,0.017668,0.017973,0.000305
EPI3456819|HA|A/Singapore/KK0151/2024|EPI_ISL_19283577|A_/_H3N2,0.019435,0.019535,0.000100
EPI3899532|HA|A/ABUDHABI/UAE/0012976/2024|EPI_ISL_19709691|A_/_H3N2,0.014134,0.014118,-0.000016
EPI4372560|HA|A/Myanmar/I264/2024|EPI_ISL_19874533|A_/_H3N2,0.010601,0.010546,-0.000055
EPI3904018|HA|A/ABUDHABI/UAE/0017838/2024|EPI_ISL_19711823|A_/_H3N2,0.012367,0.012398,0.000031
