Strain_ID,P_Distance,ML_Distance_LG_G4,Difference
EPI536466|HA|A/OKAYAMA/26/2013|EPI_ISL_164288|A_/_H3N2,0.000000,0.000001,0.000001
EPI2579590|HA|A/Kamigoto/1247/2013|EPI_ISL_17730095|A_/_H3N2,0.017668,0.017973,0.000305
EPI1633401|HA|A/Singapore/G2-10.1/2013|EPI_ISL_399300|A_/_H3N2,0.015901,0.016064,0.000163
EPI684821|HA|A/Thailand/CU-A459/2013|EPI_ISL_205372|A_/_H3N2,0.026502,0.027045,0.000543
EPI684816|HA|A/Thailand/CU-B8518/2013|EPI_ISL_205378|A_/_H3N2,0.031802,0.033189,0.001387
EPI684799|HA|A/Thailand/CU-A24/2013|EPI_ISL_205427|A_/_H3N2,0.026502,0.027042,0.000540
EPI684801|HA|A/Thailand/CU-B7992/2013|EPI_ISL_205428|A_/_H3N2,0.037102,0.038649,0.001546
EPI684817|HA|A/Thailand/CU-B8525/2013|EPI_ISL_205435|A_/_H3N2,0.021201,0.021614,0.000413
EPI684814|HA|A/Thailand/CU-B8236/2013|EPI_ISL_205434|A_/_H3N2,0.033569,0.034974,0.001405
EPI684820|HA|A/Thailand/CU-H3574/2013|EPI_ISL_205437|A_/_H3N2,0.026502,0.027193,0.000692
EPI684819|HA|A/Thailand/CU-A411/2013|EPI_ISL_205436|A_/_H3N2,0.021201,0.021739,0.000538
EPI689433|HA|A/Fukuoka/DS-9/2013|EPI_ISL_206292|A_/_H3N2,0.028269,0.029045,0.000776
EPI691404|HA|A/Tokyo/56-228/2013|EPI_ISL_206578|A_/_H3N2,0.021201,0.021577,0.000376
EPI691439|HA|A/Tokyo/66-471v/2013|EPI_ISL_206613|A_/_H3N2,0.028269,0.029063,0.000795
EPI466076|HA|A/MALAYSIA/4/2013|EPI_ISL_145309|A_/_H3N2,0.033569,0.034374,0.000805
EPI500186|HA|A/Bursa/247/2013|EPI_ISL_153943|A_/_H3N2,0.012367,0.012400,0.000032
EPI505142|HA|A/SAITAMA/138/2013|EPI_ISL_155834|A_/_H3N2,0.015901,0.015956,0.000055
EPI499618|HA|A/Stockholm/29/2013|EPI_ISL_153718|A_/_H3N2,0.014134,0.014178,0.000044
EPI503286|HA|A/England/651/2013|EPI_ISL_154749|A_/_H3N2,0.022968,0.023449,0.000481
EPI566512|HA|A/Victoria/700/2013|EPI_ISL_172979|A_/_H3N2,0.017668,0.017922,0.000254
EPI489302|HA|A/Brisbane/01/2013|EPI_ISL_151023|A_/_H3N2,0.021201,0.022095,0.000894
EPI748130|HA|A/Auckland/21/2013|EPI_ISL_219277|A_/_H3N2,0.014134,0.014395,0.000261
EPI748184|HA|A/South_Australia/2/2013|EPI_ISL_219304|A_/_H3N2,0.031802,0.033164,0.001362
EPI419975|HA|A/Malmoe/1/2013|EPI_ISL_135096|A_/_H1N1,0.556738,1.462009,0.905272
EPI2184453|HA|A/Catalonia/NSVH206354/2013|EPI_ISL_15083856|A_/_H1N1,0.551418,1.449883,0.898464
