Year,N_Strains,Mean_P_Distance,Median_P_Distance,SD_P_Distance,Mean_ML_Distance,Median_ML_Distance,SD_ML_Distance
2009,23,0.127285,0.014134,0.220507,0.309898,0.014200,0.566869
2010,27,0.100510,0.022968,0.185806,0.209708,0.023209,0.446149
2011,32,0.130742,0.014134,0.221807,0.335927,0.014241,0.609350
2012,22,0.209685,0.021201,0.252022,0.518863,0.021540,0.660757
2013,25,0.056820,0.014134,0.145625,0.128400,0.014238,0.387775
2014,29,0.108992,0.014134,0.202170,0.272541,0.014332,0.559697
2015,34,0.081376,0.016784,0.171455,0.213198,0.017007,0.531282
2016,41,0.117039,0.010601,0.214149,0.304984,0.010660,0.595735
2017,63,0.057687,0.014134,0.145434,0.151367,0.014261,0.463749
2018,59,0.099599,0.017668,0.191717,0.283844,0.017989,0.623551
2019,73,0.133767,0.017668,0.220555,0.393622,0.017992,0.710317
2020,11,0.263733,0.120141,0.202599,0.575637,0.143266,0.533361
2021,23,0.040416,0.010601,0.109658,0.082531,0.010620,0.305066
2022,61,0.104044,0.015901,0.202143,0.283919,0.015928,0.607886
2023,74,0.254391,0.033569,0.260240,0.695169,0.035366,0.750743
2024,105,0.214108,0.012367,0.260925,0.530821,0.012381,0.672603
2025,103,0.143846,0.012367,0.232312,0.414196,0.012372,0.709519
