Year,N_Strains,Mean_P_Distance,Median_P_Distance,SD_P_Distance,Mean_ML_Distance,Median_ML_Distance,SD_ML_Distance
2009,23,0.128438,0.015901,0.220092,0.311643,0.015993,0.567536
2010,27,0.107511,0.033569,0.186653,0.224543,0.034475,0.464570
2011,32,0.140680,0.031802,0.213771,0.342221,0.032555,0.593478
2012,22,0.213138,0.031802,0.257552,0.535993,0.032414,0.684238
2013,25,0.056820,0.014134,0.145625,0.128400,0.014238,0.387775
2014,29,0.114415,0.024735,0.200171,0.279483,0.025248,0.560635
2015,34,0.491270,0.554770,0.176032,1.504585,1.700542,0.546432
2016,41,0.119667,0.015901,0.213747,0.306750,0.016007,0.593456
2017,63,0.057687,0.014134,0.145418,0.150958,0.014266,0.462330
2018,59,0.468018,0.549470,0.194917,1.491964,1.754080,0.629591
2019,73,0.136914,0.021201,0.221702,0.403477,0.021612,0.723761
2020,11,0.306939,0.524735,0.269728,0.802735,1.344859,0.723131
2021,23,0.043183,0.014134,0.109137,0.085739,0.014193,0.305916
2022,61,0.107000,0.019435,0.200855,0.287495,0.019620,0.607718
2023,74,0.259284,0.031802,0.268351,0.726302,0.032953,0.788587
2024,105,0.215068,0.014134,0.260179,0.533866,0.014180,0.674489
2025,103,0.147191,0.015901,0.233137,0.420528,0.016068,0.715388
