Strain_ID,P_Distance,ML_Distance_LG_G4,Difference
EPI646110|HA|A/OKAYAMA/2/2015|EPI_ISL_196619|A_/_H3N2,0.000000,0.000001,0.000001
EPI646574|HA|A/Ulaanbaatar/330/2015|EPI_ISL_197078|A_/_H3N2,0.022968,0.023335,0.000366
EPI817207|HA|A/Bishkek/124/2015|EPI_ISL_230784|A_/_H3N2,0.021201,0.021503,0.000302
EPI671872|HA|A/Japan/4747/2015|EPI_ISL_201457|A_/_H3N2,0.028269,0.028873,0.000604
EPI671886|HA|A/Japan/4761/2015|EPI_ISL_201471|A_/_H3N2,0.021201,0.021558,0.000356
EPI857614|HA|A/Sri_Lanka/61/2015|EPI_ISL_237368|A_/_H3N2,0.014134,0.014293,0.000159
EPI704157|HA|A/Malaysia/50142/2015|EPI_ISL_209067|A_/_H3N2,0.010601,0.010629,0.000028
EPI706577|HA|A/Laos/I1002/2015|EPI_ISL_210359|A_/_H3N2,0.010601,0.010638,0.000037
EPI726898|HA|A/TOCHIGI/15115/2015|EPI_ISL_215163|A_/_H3N2,0.014134,0.014426,0.000292
EPI730521|HA|A/Singapore/TT137/2015|EPI_ISL_215701|A_/_H3N2,0.010601,0.010643,0.000042
EPI731182|HA|A/Singapore/GP548/2015|EPI_ISL_215834|A_/_H3N2,0.010601,0.010581,-0.000020
EPI940619|HA|A/Thailand/CU-B11566/2015|EPI_ISL_252426|A_/_H3N2,0.010601,0.010628,0.000027
EPI940631|HA|A/Thailand/CU-B11870/2015|EPI_ISL_252438|A_/_H3N2,0.014134,0.014279,0.000145
EPI940656|HA|A/Thailand/CU-B13914/2015|EPI_ISL_252463|A_/_H3N2,0.010601,0.010652,0.000051
EPI966155|HA|A/Saudi_Arabia/31/2015|EPI_ISL_257212|A_/_H3N2,0.012367,0.012423,0.000055
EPI806286|HA|A/Ishikawa/JP-153/2015|EPI_ISL_229129|A_/_H3N2,0.014134,0.014303,0.000169
EPI806285|HA|A/Tokushima/JP-143/2015|EPI_ISL_229128|A_/_H3N2,0.037102,0.038500,0.001397
EPI806295|HA|A/Ishikawa/DS-217/2015|EPI_ISL_229138|A_/_H3N2,0.028269,0.028987,0.000719
EPI806300|HA|A/Hyogo/DS-282v/2015|EPI_ISL_229143|A_/_H3N2,0.042403,0.044380,0.001977
EPI806299|HA|A/Ishikawa/DS-276v/2015|EPI_ISL_229142|A_/_H3N2,0.038869,0.040431,0.001562
EPI806306|HA|A/Fukuoka/DS-323v/2015|EPI_ISL_229149|A_/_H3N2,0.038869,0.040546,0.001677
EPI806305|HA|A/Tokushima/DS-317v/2015|EPI_ISL_229148|A_/_H3N2,0.042403,0.044207,0.001804
EPI806315|HA|A/Kanagawa/DS-448v/2015|EPI_ISL_229158|A_/_H3N2,0.035336,0.036644,0.001308
EPI567130|HA|A/Catalonia/2235968NS/2015|EPI_ISL_173167|A_/_H3N2,0.026502,0.027158,0.000657
EPI574571|HA|A/England/20/2015|EPI_ISL_175014|A_/_H3N2,0.021201,0.021758,0.000557
EPI652073|HA|A/South_Australia/37/2015|EPI_ISL_197873|A_/_H3N2,0.010601,0.010665,0.000064
EPI676011|HA|A/Victoria/36/2015|EPI_ISL_202632|A_/_H3N2,0.031802,0.032889,0.001087
EPI676032|HA|A/Victoria/48/2015|EPI_ISL_202639|A_/_H3N2,0.010601,0.010668,0.000067
EPI688416|HA|A/South_Australia/21/2015|EPI_ISL_206150|A_/_H3N2,0.010601,0.010678,0.000078
EPI746392|HA|A/Brisbane/174/2015|EPI_ISL_219025|A_/_H3N2,0.012367,0.012511,0.000143
EPI679237|HA|A/England/54480152/2015|EPI_ISL_203380|A_/_H1N1,0.555950,1.686201,1.130251
EPI875186|HA|A/England/55341145/2015|EPI_ISL_240948|A_/_H1N1,0.555950,1.697461,1.141511
EPI875242|HA|A/England/461/2015|EPI_ISL_240955|A_/_H1N1,0.554174,1.666386,1.112212
EPI625636|HA|A/Dnipropetrovsk/439/2015|EPI_ISL_192067|A_/_H1N1,0.554174,1.695299,1.141125
