Year,N_Strains,Mean_P_Distance,Median_P_Distance,SD_P_Distance,Mean_ML_Distance,Median_ML_Distance,SD_ML_Distance
2009,23,0.132236,0.015901,0.224122,0.324909,0.016072,0.589443
2010,27,0.108056,0.031802,0.192723,0.230822,0.032810,0.485197
2011,32,0.135729,0.015901,0.226403,0.353382,0.016022,0.637470
2012,22,0.219347,0.032686,0.261923,0.559939,0.033341,0.711997
2013,25,0.062367,0.019435,0.147545,0.138379,0.019632,0.404266
2014,29,0.111848,0.017668,0.206832,0.285040,0.017780,0.585440
2015,34,0.084394,0.021201,0.175494,0.224111,0.021531,0.556489
2016,41,0.122308,0.017668,0.218241,0.322022,0.017836,0.623552
2017,63,0.060796,0.017668,0.147953,0.160754,0.017839,0.487291
2018,59,0.105864,0.021201,0.196298,0.308634,0.021826,0.671583
2019,73,0.139168,0.024735,0.224804,0.418172,0.025343,0.750450
2020,11,0.280537,0.146643,0.260684,0.712678,0.177158,0.726728
2021,23,0.044979,0.015901,0.111870,0.090409,0.016031,0.322014
2022,61,0.110065,0.019435,0.205328,0.302136,0.019656,0.638330
2023,74,0.262379,0.034452,0.271060,0.746890,0.035378,0.810751
2024,105,0.221887,0.019435,0.264145,0.555600,0.019535,0.697811
2025,103,0.151089,0.017668,0.236591,0.443587,0.017819,0.752615
