Strain_ID,P_Distance,ML_Distance_LG_G4,Difference
EPI842634|HA|A/Thailand/FLU_PMKA1835/2012|EPI_ISL_235288|A_/_H3N2,0.014134,0.014194,0.000059
EPI684777|HA|A/Thailand/CU-H3368/2012|EPI_ISL_205362|A_/_H3N2,0.017668,0.017793,0.000125
EPI530828|HA|A/Lebanon/11L018/2012|EPI_ISL_140703|A_/_H3N2,0.019435,0.019856,0.000422
EPI691463|HA|A/Kanagawa/09-209v/2012|EPI_ISL_206637|A_/_H3N2,0.019435,0.019642,0.000207
EPI691475|HA|A/Chiba/33-178v/2012|EPI_ISL_206649|A_/_H3N2,0.021201,0.021461,0.000260
EPI2380580|HA|A/Manila/AFPA-00202/2012|EPI_ISL_16854189|A_/_H3N2,0.017668,0.017747,0.000079
EPI2120416|HA|A/Philippines/22/2012|EPI_ISL_14284851|A_/_H3N2,0.015901,0.015950,0.000049
EPI426125|HA|A/Galicia/RR9911/2012|EPI_ISL_136408|A_/_H3N2,0.022968,0.023274,0.000306
EPI407616|HA|A/Guam/3057/2012|EPI_ISL_132805|A_/_H3N2,0.021201,0.021391,0.000189
EPI434580|HA|A/VICTORIA/87/2012|EPI_ISL_137756|A_/_H3N2,0.017668,0.017801,0.000133
EPI447135|HA|A/Micronesia/6689/2012|EPI_ISL_140984|A_/_H3N2,0.022968,0.023494,0.000525
EPI1125623|HA|A/Victoria/3/2012|EPI_ISL_288811|A_/_H3N2,0.015901,0.015960,0.000059
EPI629923|HA|A/Victoria/187/2012|EPI_ISL_192794|A_/_H3N2,0.021201,0.021390,0.000189
EPI394188|HA|A/WELLINGTON/5/2012|EPI_ISL_128656|A_/_H3N2,0.021201,0.021620,0.000418
EPI404895|HA|A/Stockholm/34/2012|EPI_ISL_131802|A_/_H1N1,0.544170,1.399236,0.855067
EPI405082|HA|A/Stockholm/42/2012|EPI_ISL_131859|A_/_H1N1,0.544170,1.390035,0.845866
EPI407293|HA|A/Scotland/124640797/2012|EPI_ISL_132666|A_/_H1N1,0.542403,1.389327,0.846924
EPI418377|HA|A/Stockholm/44/2012|EPI_ISL_134872|A_/_H1N1,0.544170,1.404757,0.860588
EPI418830|HA|A/Stockholm/50/2012|EPI_ISL_134938|A_/_H1N1,0.544170,1.407665,0.863495
EPI379995|HA|A/Stockholm/25/2012|EPI_ISL_122761|A_/_H1N1,0.540636,1.383738,0.843102
EPI383002|HA|A/Boras/1/2012|EPI_ISL_123787|A_/_H1N1,0.544170,1.387340,0.843170
EPI397599|HA|A/Stockholm/16/2012|EPI_ISL_129669|A_/_H1N1,0.540636,1.381324,0.840688
