Strain_ID,P_Distance,ML_Distance_LG_G4,Difference
EPI534966|HA|A/Ho_Chi_Minh/459.6/2010|EPI_ISL_163974|A_/_H3N2,0.077739,0.083486,0.005747
EPI534967|HA|A/Ho_Chi_Minh/518.6/2010|EPI_ISL_163975|A_/_H3N2,0.021201,0.021673,0.000472
EPI534969|HA|A/Ho_Chi_Minh/552.7/2010|EPI_ISL_163977|A_/_H3N2,0.021201,0.021629,0.000427
EPI534975|HA|A/Ho_Chi_Minh/612.7/2010|EPI_ISL_163983|A_/_H3N2,0.014134,0.014310,0.000176
EPI534973|HA|A/Ho_Chi_Minh/607.7/2010|EPI_ISL_163981|A_/_H3N2,0.008834,0.008830,-0.000004
EPI534978|HA|A/Ho_Chi_Minh/632.8/2010|EPI_ISL_163986|A_/_H3N2,0.008834,0.008914,0.000080
EPI534979|HA|A/Ho_Chi_Minh/638.8/2010|EPI_ISL_163987|A_/_H3N2,0.019435,0.019749,0.000315
EPI534976|HA|A/Ho_Chi_Minh/626.8/2010|EPI_ISL_163984|A_/_H3N2,0.015901,0.016088,0.000187
EPI534982|HA|A/Ho_Chi_Minh/660.8/2010|EPI_ISL_163990|A_/_H3N2,0.033569,0.034648,0.001079
EPI534983|HA|A/Ho_Chi_Minh/718.8/2010|EPI_ISL_163991|A_/_H3N2,0.031802,0.033164,0.001362
EPI534986|HA|A/Ho_Chi_Minh/854.10/2010|EPI_ISL_163994|A_/_H3N2,0.019435,0.019815,0.000380
EPI534984|HA|A/Ho_Chi_Minh/721.8/2010|EPI_ISL_163992|A_/_H3N2,0.022968,0.023489,0.000521
EPI534985|HA|A/Ho_Chi_Minh/722.8/2010|EPI_ISL_163993|A_/_H3N2,0.022968,0.023377,0.000409
EPI439795|HA|A/Riyadh/01/2010|EPI_ISL_138843|A_/_H3N2,0.035336,0.036471,0.001135
EPI270353|HA|A/Taiwan/42/2010|EPI_ISL_76702|A_/_H3N2,0.042403,0.044069,0.001667
EPI457975|HA|A/Singapore/H2010.471C/2010|EPI_ISL_142982|A_/_H3N2,0.033569,0.034475,0.000906
EPI309622|HA|A/Osaka/72/2010|EPI_ISL_87966|A_/_H3N2,0.044170,0.045814,0.001644
EPI301362|HA|A/England/4820166/2010|EPI_ISL_85727|A_/_H3N2,0.038869,0.040175,0.001306
EPI309725|HA|A/England/270/2010|EPI_ISL_88034|A_/_H3N2,0.031802,0.032690,0.000888
EPI316874|HA|A/Malmoe/5/2010|EPI_ISL_90053|A_/_H3N2,0.044170,0.045947,0.001778
EPI294342|HA|A/SOUTH_AUSTRALIA/414/2010|EPI_ISL_83868|A_/_H3N2,0.037102,0.038181,0.001078
EPI331336|HA|A/TOWNSVILLE/122/2010|EPI_ISL_94798|A_/_H3N2,0.021164,0.021578,0.000414
EPI331440|HA|A/VICTORIA/1034/2010|EPI_ISL_94833|A_/_H3N2,0.040636,0.042168,0.001532
EPI273891|HA|A/Dnipropetrovsk/445/2010|EPI_ISL_77716|A_/_H1N1,0.554770,1.332581,0.777811
EPI295631|HA|A/Switzerland/3628824/2010|EPI_ISL_84242|A_/_H1N1,0.553004,1.336847,0.783844
EPI369825|HA|A/England/193/2010|EPI_ISL_118458|A_/_H1N1,0.553004,1.337003,0.783999
EPI369829|HA|A/England/67/2010|EPI_ISL_118462|A_/_H1N1,0.554770,1.345492,0.790721
