Strain_ID,P_Distance,ML_Distance_LG_G4,Difference
EPI2082985|HA|A/Myanmar/21M017/2021|EPI_ISL_13631686|A_/_H3N2,0.014134,0.014180,0.000046
EPI1924397|HA|A/Singapore/INFKK0002/2021|EPI_ISL_5933270|A_/_H3N2,0.012367,0.012394,0.000026
EPI1924389|HA|A/Thailand/4/2021|EPI_ISL_5933269|A_/_H3N2,0.017668,0.017851,0.000183
EPI1888048|HA|A/Philippines/1/2021|EPI_ISL_3836431|A_/_H3N2,0.038869,0.040146,0.001276
EPI2069098|HA|A/Saudi_Arabia/22-23/2021|EPI_ISL_13339914|A_/_H3N2,0.012367,0.012383,0.000016
EPI2069106|HA|A/Saudi_Arabia/44642/2021|EPI_ISL_13339918|A_/_H3N2,0.012367,0.012394,0.000027
EPI1843602|HA|A/AbuDhabi/01/2021|EPI_ISL_956319|A_/_H3N2,0.000000,0.000001,0.000001
EPI1967925|HA|A/Pakistan/ICT14/2021|EPI_ISL_9346128|A_/_H3N2,0.015901,0.016031,0.000130
EPI1925481|HA|A/Qatar/24-VI-21-3752470/2021|EPI_ISL_6075484|A_/_H3N2,0.014134,0.014217,0.000083
EPI2024254|HA|A/Qatar/10-VI-21-4396149/2021|EPI_ISL_12240190|A_/_H3N2,0.014134,0.014179,0.000045
EPI1889181|HA|A/Philippines/6/2021|EPI_ISL_3950048|A_/_H3N2,0.054770,0.057984,0.003213
EPI1889178|HA|A/Philippines/8/2021|EPI_ISL_3950047|A_/_H3N2,0.038869,0.040047,0.001178
EPI2044679|HA|A/Nur-Sultan/343/2021|EPI_ISL_12869830|A_/_H3N2,0.019435,0.019638,0.000203
EPI2194981|HA|A/Maldives/758/2021|EPI_ISL_15394467|A_/_H3N2,0.014134,0.014146,0.000012
EPI1947371|HA|A/Seeb/72126898/2021|EPI_ISL_7992165|A_/_H3N2,0.012367,0.012391,0.000023
EPI1947373|HA|A/Zghorta.LBN/7493/2021|EPI_ISL_7992166|A_/_H3N2,0.019435,0.019651,0.000217
EPI2047029|HA|A/Kazakhstan/582/2021|EPI_ISL_12942452|A_/_H3N2,0.012367,0.012459,0.000092
EPI1937577|HA|A/Andalucia/9561/2021|EPI_ISL_6917670|A_/_H3N2,0.015901,0.015980,0.000079
EPI1887976|HA|A/Stockholm/7/2021|EPI_ISL_3797777|A_/_H3N2,0.033569,0.034586,0.001017
EPI1924447|HA|A/Newcastle/1/2021|EPI_ISL_5933276|A_/_H3N2,0.053004,0.056029,0.003025
EPI1859990|HA|A/Darwin/1/2021|EPI_ISL_2233237|A_/_H3N2,0.022968,0.023392,0.000424
EPI1883377|HA|A/Timor-Leste/33/2021|EPI_ISL_3101063|A_/_H3N2,0.019749,0.019990,0.000241
EPI1962229|HA|A/Murcia/10211/2021|EPI_ISL_8896338|A_/_H1N1,0.566004,1.599344,1.033341
