Strain_ID,P_Distance,ML_Distance_LG_G4,Difference
EPI1727800|HA|A/Kyrgyzstan/166/2019|EPI_ISL_426223|A_/_H3N2,0.010601,0.010693,0.000092
EPI1727842|HA|A/Qatar/47-VI-19-0067658/2019|EPI_ISL_426244|A_/_H3N2,0.019435,0.019781,0.000346
EPI1757941|HA|A/Laos/3797/2019|EPI_ISL_491780|A_/_H3N2,0.024735,0.025437,0.000702
EPI1727852|HA|A/South_lebanon/Tyre/NS20/2019|EPI_ISL_426249|A_/_H3N2,0.030035,0.030954,0.000919
EPI1758040|HA|A/Abu_Dhabi/071/2019|EPI_ISL_491793|A_/_H3N2,0.000000,0.000001,0.000001
EPI1605042|HA|A/OKINAWA/74/2019|EPI_ISL_394199|A_/_H3N2,0.019435,0.019779,0.000344
EPI1800278|HA|A/Myanmar/19M147/2019|EPI_ISL_525690|A_/_H3N2,0.014134,0.014480,0.000346
EPI1800285|HA|A/Myanmar/19M225/2019|EPI_ISL_525757|A_/_H3N2,0.021201,0.021936,0.000734
EPI1479787|HA|A/Abu_Dhabi/021/2019|EPI_ISL_362253|A_/_H3N2,0.022968,0.023477,0.000509
EPI1480618|HA|A/Abu_Dhabi/008/2019|EPI_ISL_362359|A_/_H3N2,0.019435,0.019840,0.000405
EPI1483944|HA|A/Kyrgyzstan/49/2019|EPI_ISL_363141|A_/_H3N2,0.010601,0.010668,0.000067
EPI1619487|HA|A/Qatar/10-VI-19-0048190/2019|EPI_ISL_397286|A_/_H3N2,0.019435,0.019772,0.000337
EPI1619510|HA|A/Qatar/16-VI-19-0048614/2019|EPI_ISL_397298|A_/_H3N2,0.019435,0.019797,0.000362
EPI1627368|HA|A/NIIGATA/805/2019|EPI_ISL_398302|A_/_H3N2,0.010601,0.010689,0.000089
EPI1498242|HA|A/KANAGAWA/AC1880/2019|EPI_ISL_366108|A_/_H3N2,0.024735,0.025358,0.000623
EPI1901758|HA|A/Thailand/CU-E1482/2019|EPI_ISL_4069934|A_/_H3N2,0.010601,0.010668,0.000068
