Strain_ID,P_Distance,ML_Distance_LG_G4,Difference
EPI994076|HA|A/Maldives/01/2017|EPI_ISL_262692|A_/_H1N1,0.007067,0.007080,0.000013
EPI1160053|HA|A/Amasya/576/2017|EPI_ISL_295534|A_/_H1N1,0.005300,0.005301,0.000001
EPI1160074|HA|A/Amasya/622/2017|EPI_ISL_295542|A_/_H1N1,0.005300,0.005327,0.000027
EPI1160065|HA|A/Giresun/612/2017|EPI_ISL_295539|A_/_H1N1,0.010601,0.010756,0.000156
EPI1319384|HA|A/Malaysia/RP0351/2017|EPI_ISL_331302|A_/_H1N1,0.014134,0.014372,0.000238
EPI1175790|HA|A/Maldives/1499/2017|EPI_ISL_298530|A_/_H1N1,0.008834,0.008904,0.000070
EPI1179980|HA|A/Abu_Dhabi/031/2017|EPI_ISL_299792|A_/_H1N1,0.008834,0.008890,0.000056
EPI1188319|HA|A/Jordan/1975/2017|EPI_ISL_301339|A_/_H1N1,0.008834,0.008885,0.000051
EPI1640769|HA|A/Vietnam/BM7/2017|EPI_ISL_400700|A_/_H1N1,0.010601,0.010619,0.000018
EPI1024961|HA|A/Laos/0157/2017|EPI_ISL_269928|A_/_H1N1,0.010601,0.010658,0.000058
EPI1195616|HA|A/Taiwan/1407/2017|EPI_ISL_302868|A_/_H1N1,0.007067,0.007084,0.000017
EPI1039873|HA|A/Philippines/0287/2017|EPI_ISL_273799|A_/_H1N1,0.012367,0.012836,0.000469
EPI1044642|HA|A/Philippines/5/2017|EPI_ISL_274907|A_/_H1N1,0.005300,0.005337,0.000036
EPI2650507|HA|A/Saudi_Arabia/55/2017|EPI_ISL_18038001|A_/_H1N1,0.019435,0.020137,0.000703
EPI1244278|HA|A/Malaysia/RP2210/2017|EPI_ISL_312599|A_/_H1N1,0.012367,0.012556,0.000188
EPI1082188|HA|A/Oman/3205/2017|EPI_ISL_282192|A_/_H1N1,0.008834,0.008850,0.000016
EPI1093966|HA|A/Laos/1448/2017|EPI_ISL_284086|A_/_H1N1,0.010601,0.010668,0.000067
EPI1094014|HA|A/Laos/2197/2017|EPI_ISL_284092|A_/_H1N1,0.012367,0.012427,0.000059
EPI1276369|HA|A/Singapore/KK1410/2017|EPI_ISL_321680|A_/_H1N1,0.010601,0.010690,0.000089
EPI1282973|HA|A/Malaysia/RP2707/2017|EPI_ISL_322990|A_/_H1N1,0.007067,0.007099,0.000032
EPI1145405|HA|A/Singapore/KK1341/2017|EPI_ISL_292426|A_/_H1N1,0.014134,0.014331,0.000196
EPI1147215|HA|A/Vietnam/GHS969/2017|EPI_ISL_292684|A_/_H1N1,0.014134,0.014279,0.000145
EPI982567|HA|A/Qatar/10-VI-17-0000393/2017|EPI_ISL_260165|A_/_H1N1,0.005300,0.005279,-0.000021
EPI1152187|HA|A/England/75180460/2017|EPI_ISL_293646|A_/_H1N1,0.010601,0.010630,0.000030
EPI1082687|HA|A/Victoria/570/2017|EPI_ISL_282308|A_/_H1N1,0.008834,0.008907,0.000073
EPI2044033|HA|A/Brisbane/194/2017|EPI_ISL_12850483|A_/_H1N1,0.010601,0.010725,0.000124
EPI1162964|HA|A/Iowa/49/2017|EPI_ISL_296019|A_/_H1N1,0.010601,0.010638,0.000038
EPI1017431|HA|A/California/54/2017|EPI_ISL_268415|A_/_H1N1,0.010601,0.010663,0.000063
EPI1118235|HA|A/California/121/2017|EPI_ISL_287697|A_/_H1N1,0.008834,0.009157,0.000323
EPI989314|HA|A/Iowa/18/2017|EPI_ISL_261833|A_/_H1N1,0.015901,0.016178,0.000276
