Strain_ID,P_Distance,ML_Distance_LG_G4,Difference
EPI1757684|HA|A/Laos/2794/2019|EPI_ISL_491747|A_/_H1N1,0.017668,0.018026,0.000358
EPI1604762|HA|A/Lebanon/323/2019|EPI_ISL_394074|A_/_H1N1,0.005300,0.005341,0.000040
EPI1605036|HA|A/OKINAWA/64/2019|EPI_ISL_394196|A_/_H1N1,0.021201,0.021773,0.000572
EPI1478325|HA|A/Kyrgyzstan,Osh/6/2019|EPI_ISL_361909|A_/_H1N1,0.005300,0.005319,0.000019
EPI1606793|HA|A/Vietnam/018/2019|EPI_ISL_394988|A_/_H1N1,0.015901,0.016682,0.000781
EPI1608337|HA|A/IBARAKI/93/2019|EPI_ISL_395217|A_/_H1N1,0.022968,0.023546,0.000578
EPI1610319|HA|A/SAITAMA/173/2019|EPI_ISL_395546|A_/_H1N1,0.028269,0.029183,0.000914
EPI1763653|HA|A/Konya/820/2019|EPI_ISL_498330|A_/_H1N1,0.022968,0.023623,0.000655
EPI1646278|HA|A/Singapore/GP2220/2019|EPI_ISL_401475|A_/_H1N1,0.022968,0.023773,0.000805
EPI1663791|HA|A/Laos/2879/2019|EPI_ISL_404786|A_/_H1N1,0.017668,0.018135,0.000467
EPI1672598|HA|A/Philippines/34/2019|EPI_ISL_406964|A_/_H1N1,0.026502,0.027631,0.001129
EPI1679823|HA|A/KANAGAWA/AC1920/2019|EPI_ISL_408542|A_/_H1N1,0.024735,0.025623,0.000888
EPI1377837|HA|A/Karaganda_NRL/344/2019|EPI_ISL_343414|A_/_H1N1,0.021201,0.022781,0.001579
EPI1381335|HA|A/KANAGAWA/AC1823/2019|EPI_ISL_344515|A_/_H1N1,0.026502,0.027787,0.001285
EPI1852427|HA|A/Vietnam/Vnhcm-Gs394/2019|EPI_ISL_1296413|A_/_H1N1,0.021201,0.021836,0.000634
EPI1388093|HA|A/Singapore/NTF0009/2019|EPI_ISL_346413|A_/_H1N1,0.017668,0.017992,0.000324
EPI1566682|HA|A/Myanmar/19M064/2019|EPI_ISL_381708|A_/_H1N1,0.021201,0.021817,0.000616
EPI1797977|HA|A/Malaysia/RP_0718/2019|EPI_ISL_514735|A_/_H1N1,0.024735,0.025621,0.000886
EPI1584500|HA|A/Malaysia/RP2118/2019|EPI_ISL_389527|A_/_H1N1,0.017668,0.018106,0.000438
EPI1491300|HA|A/England/146/2019|EPI_ISL_364689|A_/_H1N1,0.017668,0.018120,0.000452
EPI1491298|HA|A/England/204/2019|EPI_ISL_364688|A_/_H1N1,0.021201,0.021800,0.000598
EPI1506890|HA|A/Linkoping/1/2019|EPI_ISL_367960|A_/_H1N1,0.021201,0.021763,0.000562
EPI1506986|HA|A/Ukraine/8294/2019|EPI_ISL_368008|A_/_H1N1,0.021201,0.021750,0.000548
EPI1508590|HA|A/Novi_Sad/4336/2019|EPI_ISL_368276|A_/_H1N1,0.017668,0.017984,0.000316
EPI1359897|HA|A/Barry/6142/2019|EPI_ISL_339323|A_/_H1N1,0.019435,0.020016,0.000582
EPI1369937|HA|A/England/27/2019|EPI_ISL_341280|A_/_H1N1,0.019435,0.020109,0.000674
EPI1370341|HA|A/Catalonia/NSVH100970317/2019|EPI_ISL_341417|A_/_H1N1,0.008834,0.008908,0.000074
EPI1378056|HA|A/Sweden/27/2019|EPI_ISL_343451|A_/_H1N1,0.022968,0.023680,0.000712
EPI1443858|HA|A/Catalonia/NSVH100983893/2019|EPI_ISL_356453|A_/_H1N1,0.014134,0.014347,0.000213
EPI1484058|HA|A/South_Australia/297/2019|EPI_ISL_363162|A_/_H1N1,0.021201,0.021947,0.000745
EPI1647174|HA|A/Canberra/337/2019|EPI_ISL_401775|A_/_H1N1,0.030035,0.031628,0.001593
EPI1647539|HA|A/South_Australia/477/2019|EPI_ISL_401895|A_/_H1N1,0.021201,0.021900,0.000698
EPI1435941|HA|A/Sydney/41/2019|EPI_ISL_354709|A_/_H1N1,0.017668,0.018173,0.000505
EPI1594066|HA|A/Victoria/1001/2019|EPI_ISL_391483|A_/_H1N1,0.021201,0.021706,0.000505
EPI1479960|HA|A/Montana/36/2019|EPI_ISL_362275|A_/_H1N1,0.019435,0.019962,0.000527
EPI1480139|HA|A/Iowa/12/2019|EPI_ISL_362298|A_/_H1N1,0.022968,0.023697,0.000729
EPI1487896|HA|A/Connecticut/33/2019|EPI_ISL_364053|A_/_H1N1,0.021201,0.021649,0.000447
EPI1636779|HA|A/California/206/2019|EPI_ISL_400059|A_/_H1N1,0.026502,0.027563,0.001061
EPI1642106|HA|A/California/208/2019|EPI_ISL_400899|A_/_H1N1,0.028269,0.029369,0.001100
EPI1559650|HA|A/Michigan/295/2019|EPI_ISL_380418|A_/_H1N1,0.010601,0.010719,0.000118
EPI1396930|HA|A/Arkansas/17/2019|EPI_ISL_348098|A_/_H1N1,0.005300,0.005316,0.000016
