Strain_ID,P_Distance,ML_Distance_LG_G4,Difference
EPI1604164|HA|A/Yokohama/UT-K101/2012|EPI_ISL_393909|A_/_H1N1,0.010601,0.010853,0.000252
EPI406032|HA|A/Ayutthaya/283/2012|EPI_ISL_132102|A_/_H1N1,0.000000,0.000001,0.000001
EPI406035|HA|A/Chiang_Rai/312/2012|EPI_ISL_132103|A_/_H1N1,0.015901,0.016555,0.000654
EPI413167|HA|A/YOKOHAMA/154/2012|EPI_ISL_133539|A_/_H1N1,0.010601,0.010934,0.000333
EPI413170|HA|A/SAITAMA/88/2012|EPI_ISL_133540|A_/_H1N1,0.021201,0.022022,0.000820
EPI450759|HA|A/Jericho/18/2012|EPI_ISL_141724|A_/_H1N1,0.015901,0.016450,0.000549
EPI378229|HA|A/HIROSHIMA/17/2012|EPI_ISL_122175|A_/_H1N1,0.015901,0.016554,0.000653
EPI379995|HA|A/Stockholm/25/2012|EPI_ISL_122761|A_/_H1N1,0.015901,0.016542,0.000641
EPI383002|HA|A/Boras/1/2012|EPI_ISL_123787|A_/_H1N1,0.012367,0.012759,0.000392
EPI397599|HA|A/Stockholm/16/2012|EPI_ISL_129669|A_/_H1N1,0.019435,0.020448,0.001013
EPI417288|HA|A/SOUTH_AUSTRALIA/162/2012|EPI_ISL_134468|A_/_H1N1,0.028269,0.029779,0.001511
EPI379559|HA|A/BRISBANE/19/2012|EPI_ISL_122593|A_/_H1N1,0.017668,0.018331,0.000663
EPI394212|HA|A/BRISBANE/57/2012|EPI_ISL_128664|A_/_H1N1,0.017668,0.018454,0.000786
EPI394286|HA|A/VICTORIA/637/2012|EPI_ISL_128689|A_/_H1N1,0.019435,0.020500,0.001065
EPI370386|HA|A/California/21/2012|EPI_ISL_118684|A_/_H1N1,0.017668,0.018378,0.000710
EPI394869|HA|A/Nebraska/10/2012|EPI_ISL_129013|A_/_H1N1,0.015901,0.016349,0.000448
