Year,N_Strains,Mean_P_Distance,Median_P_Distance,SD_P_Distance,Mean_ML_Distance,Median_ML_Distance,SD_ML_Distance
2009,57,0.015640,0.007067,0.037429,nan,nan,nan
2010,24,0.017296,0.008834,0.042142,nan,nan,nan
2011,19,0.011810,0.010601,0.004442,nan,nan,nan
2012,16,0.012367,0.012367,0.003748,nan,nan,nan
2013,16,0.010711,0.007067,0.006654,nan,nan,nan
2014,6,0.010604,0.011484,0.005302,nan,nan,nan
2016,13,0.011144,0.007067,0.005814,nan,nan,nan
2017,30,0.010188,0.010601,0.003248,nan,nan,nan
2018,38,0.011205,0.010601,0.002697,nan,nan,nan
2019,41,0.012798,0.012367,0.004107,nan,nan,nan
2020,16,0.013472,0.011484,0.006052,nan,nan,nan
2021,5,0.018021,0.015901,0.008166,nan,nan,nan
2022,16,0.024735,0.010601,0.053213,nan,nan,nan
2023,86,0.014281,0.012367,0.010824,nan,nan,nan
2024,98,0.021040,0.012367,0.058340,nan,nan,nan
2025,52,0.012265,0.010601,0.007473,nan,nan,nan
