Strain_ID,P_Distance,ML_Distance_LG_G4,Difference
EPI230121|HA|A/NIIGATA/1459/2009|EPI_ISL_65887|A_/_H1N1,0.014134,0.014292,0.000158
EPI190831|HA|A/Taiwan/T1773/2009|EPI_ISL_33944|A_/_H1N1,0.000000,0.000001,0.000001
EPI232996|HA|A/SAPPORO/464/2009|EPI_ISL_66729|A_/_H1N1,0.014134,0.014249,0.000115
EPI233003|HA|A/YAMAGUCHI/184/2009|EPI_ISL_66736|A_/_H1N1,0.014134,0.014172,0.000037
EPI240592|HA|A/HIROSHIMA-C/395/2009|EPI_ISL_69056|A_/_H1N1,0.014134,0.014225,0.000091
EPI349527|HA|A/Taiwan/1017/2009|EPI_ISL_101897|A_/_H1N1,0.014134,0.014266,0.000132
EPI349526|HA|A/Taiwan/11706/2009|EPI_ISL_101896|A_/_H1N1,0.014134,0.014224,0.000090
EPI241772|HA|A/TOCHIGI/356/2009|EPI_ISL_69740|A_/_H1N1,0.014134,0.014280,0.000146
EPI248540|HA|A/SHIZUOKA-C/172/2009|EPI_ISL_71613|A_/_H1N1,0.012367,0.012400,0.000032
EPI254654|HA|A/Daejeon/1871/2009|EPI_ISL_74102|A_/_H1N1,0.014134,0.014259,0.000124
EPI255807|HA|A/Thailand/THB0405/2009|EPI_ISL_74415|A_/_H1N1,0.014134,0.014223,0.000089
EPI263419|HA|A/Singapore/GP3441/2009|EPI_ISL_75728|A_/_H1N1,0.014134,0.014458,0.000323
EPI263429|HA|A/Singapore/GP4381/2009|EPI_ISL_75733|A_/_H1N1,0.014134,0.014245,0.000111
EPI263435|HA|A/Singapore/GP4697/2009|EPI_ISL_75736|A_/_H1N1,0.014134,0.014204,0.000070
EPI277593|HA|A/Amman/WR0060N/2009|EPI_ISL_78800|A_/_H1N1,0.017730,0.018067,0.000337
EPI277609|HA|A/Taipei/WR0193T/2009|EPI_ISL_78802|A_/_H1N1,0.008865,0.008921,0.000056
EPI277641|HA|A/Bishkek/WR0881T/2009|EPI_ISL_78806|A_/_H1N1,0.017730,0.018173,0.000442
EPI277801|HA|A/Ankara/WR1429T/2009|EPI_ISL_78826|A_/_H1N1,0.015957,0.016128,0.000171
EPI277833|HA|A/Taipei/WR1472T/2009|EPI_ISL_78830|A_/_H1N1,0.017730,0.018106,0.000376
EPI297094|HA|A/Sendai/TU385/2009|EPI_ISL_84677|A_/_H1N1,0.014134,0.014246,0.000111
EPI297101|HA|A/Sendai/TU396/2009|EPI_ISL_84684|A_/_H1N1,0.015901,0.016074,0.000173
EPI297106|HA|A/Sendai/TU402/2009|EPI_ISL_84689|A_/_H1N1,0.014134,0.014312,0.000178
EPI297133|HA|A/Sendai/TU447/2009|EPI_ISL_84716|A_/_H1N1,0.015901,0.016071,0.000170
EPI297181|HA|A/Sendai/TU589/2009|EPI_ISL_84764|A_/_H1N1,0.015901,0.016066,0.000165
EPI297185|HA|A/Sendai/TU587/2009|EPI_ISL_84768|A_/_H1N1,0.017668,0.018104,0.000436
EPI297194|HA|A/Sendai/TU620/2009|EPI_ISL_84777|A_/_H1N1,0.014134,0.014257,0.000122
EPI307264|HA|A/Taiwan/7949/2009|EPI_ISL_87441|A_/_H1N1,0.014134,0.014214,0.000080
EPI210034|HA|A/FUKUOKA-C/2/2009|EPI_ISL_60011|A_/_H1N1,0.014134,0.014260,0.000126
EPI212534|HA|A/Nagasaki/HA-14/2009|EPI_ISL_61244|A_/_H1N1,0.010601,0.010852,0.000251
EPI213909|HA|A/Singapore/TLL52/2009|EPI_ISL_61491|A_/_H1N1,0.012367,0.012479,0.000111
EPI213910|HA|A/Singapore/TLL53/2009|EPI_ISL_61492|A_/_H1N1,0.012367,0.012408,0.000040
EPI230191|HA|A/Stockholm/107/2009|EPI_ISL_65945|A_/_H1N1,0.014134,0.014233,0.000098
EPI244706|HA|A/Sweden/1/2009|EPI_ISL_70643|A_/_H1N1,0.215929,0.304183,0.088254
EPI245697|HA|A/Stockholm/1/2009|EPI_ISL_70809|A_/_H1N1,0.214159,0.300235,0.086076
EPI386893|HA|A/Scotland/Aberdeen_2/2009|EPI_ISL_125732|A_/_H1N1,0.014134,0.014207,0.000073
EPI386933|HA|A/Scotland/Aberdeen_8/2009|EPI_ISL_125760|A_/_H1N1,0.014134,0.014225,0.000091
EPI387030|HA|A/Scotland/Perth_09V501016/2009|EPI_ISL_125774|A_/_H1N1,0.017668,0.017824,0.000156
EPI323711|HA|A/England/H093780041/2009|EPI_ISL_93111|A_/_H1N1,0.014134,0.014221,0.000087
EPI392060|HA|A/Scotland/Glasgow_412286/2009|EPI_ISL_127992|A_/_H1N1,0.021201,0.021652,0.000451
EPI392087|HA|A/Scotland/EastKilbride_412770/2009|EPI_ISL_127996|A_/_H1N1,0.014134,0.014269,0.000135
EPI392129|HA|A/Scotland/Glasgow_413886/2009|EPI_ISL_128004|A_/_H1N1,0.021201,0.021710,0.000508
EPI336133|HA|A/England/909/2009|EPI_ISL_96157|A_/_H1N1,0.014134,0.014216,0.000081
EPI336231|HA|A/England/918/2009|EPI_ISL_96255|A_/_H1N1,0.010601,0.010611,0.000011
EPI233074|HA|A/VICTORIA/2081/2009|EPI_ISL_66775|A_/_H1N1,0.014134,0.014251,0.000116
EPI245079|HA|A/Australia/58/2009|EPI_ISL_70708|A_/_H1N1,0.014134,0.014178,0.000043
EPI274977|HA|A/Guam/NHRC0027/2009|EPI_ISL_77875|A_/_H1N1,0.014134,0.014228,0.000094
