Strain_ID,P_Distance,ML_Distance_LG_G4,Difference
EPI349529|HA|A/Taiwan/3994/2010|EPI_ISL_101899|A_/_H1N1,0.005300,0.005282,-0.000019
EPI349528|HA|A/Taiwan/1164/2010|EPI_ISL_101898|A_/_H1N1,0.012367,0.012465,0.000098
EPI249899|HA|A/Nagasaki/HA-10-5/2010|EPI_ISL_71903|A_/_H1N1,0.008834,0.008855,0.000021
EPI272412|HA|A/NIIGATA/194/2010|EPI_ISL_77265|A_/_H1N1,0.005300,0.005297,-0.000004
EPI598887|HA|A/Bangkok/SIMI510/2010|EPI_ISL_181410|A_/_H1N1,0.005300,0.005285,-0.000015
EPI598885|HA|A/Bangkok/SIMI508/2010|EPI_ISL_181408|A_/_H1N1,0.005300,0.005273,-0.000027
EPI302108|HA|A/Taiwan/733/2010|EPI_ISL_86017|A_/_H1N1,0.010601,0.010606,0.000006
EPI324760|HA|A/Thailand/CU-MV6/2010|EPI_ISL_93119|A_/_H1N1,0.005217,0.005189,-0.000029
EPI334839|HA|A/Aichi/118/2010|EPI_ISL_95637|A_/_H1N1,0.008834,0.008851,0.000017
EPI403823|HA|A/England/03220137/2010|EPI_ISL_131599|A_/_H1N1,0.007067,0.007059,-0.000008
EPI403839|HA|A/Northern_Ireland/04380108/2010|EPI_ISL_131604|A_/_H1N1,0.008834,0.008797,-0.000037
EPI273891|HA|A/Dnipropetrovsk/445/2010|EPI_ISL_77716|A_/_H1N1,0.010601,0.010599,-0.000002
EPI278514|HA|A/Ukraine/123/2010|EPI_ISL_79191|A_/_H1N1,0.012367,0.012409,0.000042
EPI295619|HA|A/Slovakia/1623/2010|EPI_ISL_84236|A_/_H1N1,0.008834,0.008807,-0.000027
EPI295631|HA|A/Switzerland/3628824/2010|EPI_ISL_84242|A_/_H1N1,0.007067,0.007048,-0.000019
EPI299615|HA|A/Switzerland/5165/2010|EPI_ISL_85201|A_/_H1N1,0.219081,0.272222,0.053140
EPI492960|HA|A/Extremadura/6530/2010|EPI_ISL_151911|A_/_H1N1,0.010601,0.010638,0.000037
EPI280341|HA|A/Christchurch/16/2010|EPI_ISL_79721|A_/_H1N1,0.010601,0.010581,-0.000020
EPI250026|HA|A/Maryland/04/2010|EPI_ISL_71959|A_/_H1N1,0.012367,0.012352,-0.000015
EPI252143|HA|A/Minnesota/02/2010|EPI_ISL_73406|A_/_H1N1,0.008834,0.008866,0.000032
EPI273717|HA|A/Minnesota/03/2010|EPI_ISL_77664|A_/_H1N1,0.005300,0.005280,-0.000020
EPI278832|HA|A/California/11/2010|EPI_ISL_79343|A_/_H1N1,0.008834,0.008802,-0.000031
EPI300969|HA|A/Indiana/06/2010|EPI_ISL_85569|A_/_H1N1,0.007067,0.007045,-0.000022
EPI301713|HA|A/Hawaii/16/2010|EPI_ISL_85813|A_/_H1N1,0.010601,0.010620,0.000019
