Year,N_Strains,Mean_P_Distance,Median_P_Distance,SD_P_Distance,Mean_ML_Distance,Median_ML_Distance,SD_ML_Distance
2009,57,0.021470,0.014134,0.037073,0.024613,0.014236,0.052780
2010,24,0.021275,0.012367,0.042130,0.023628,0.012408,0.053164
2011,19,0.015622,0.015901,0.005740,0.015914,0.016155,0.005935
2012,16,0.015901,0.015901,0.005793,0.016557,0.016554,0.006114
2013,16,0.014907,0.012367,0.006927,0.015168,0.012509,0.007204
2014,6,0.010604,0.011484,0.005302,0.012613,0.014352,0.005511
2016,13,0.015765,0.014134,0.006841,0.016227,0.014439,0.007271
2017,30,0.013545,0.012367,0.003907,0.013768,0.012554,0.004014
2018,38,0.015343,0.015901,0.003848,0.015649,0.016189,0.003974
2019,41,0.016117,0.015901,0.005790,0.016567,0.016419,0.006103
2020,16,0.018110,0.017668,0.007612,0.018800,0.018050,0.008232
2021,5,0.022615,0.024735,0.013749,0.023448,0.025429,0.014408
2022,16,0.026281,0.010601,0.053352,0.031274,0.010659,0.072172
2023,86,0.017486,0.017668,0.010197,0.018040,0.017867,0.012441
2024,98,0.025112,0.017668,0.058889,0.036747,0.017826,0.162642
2025,52,0.015530,0.014134,0.007527,0.015820,0.014199,0.007945
